Beneficiario,RNP,Localidad,Municipio,Estado,Aprobación-Conapesca,Aprobación-Gob.Edo.
DEMETRIO SOBERANES CASTRO SCL,0207001264,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
DEMETRIO SOBERANES CASTRO SCL,0207001264,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
DEMETRIO SOBERANES CASTRO SCL,0207001264,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
DEMETRIO SOBERANES CASTRO SCL,0207001264,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
SERVICIOS TURISTICOS Y PESCA COMERCIAL LOS VOLCANES,0203014170,SAN QUINTIN,ENSENADA,BC,"$79,495.00","$47,697.00"
DEMETRIO SOBERANES CASTRO SCL,0207001264,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
SOCIEDAD DE PESCADORES RIBERE?OS DE SAN FELIPE SPR DE RL,0207001611,SAN FELIPE,MEXICALI,BC,"$82,797.00","$49,678.00"
"BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU, SPR DE RL",0203008149,ENSENADA,ENSENADA,BC,"$79,495.00","$47,697.00"
"BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU, SPR DE RL",0203008149,CORONEL ESTEBAN CANTU,ENSENADA,BC,"$79,495.00","$47,697.00"
"BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU, SPR DE RL",0203008149,ENSENADA,ENSENADA,BC,"$79,495.00","$47,697.00"
BUZOS DE BAHIA,0203127048,BAHIA DE LOS ANGELES,ENSENADA,BC,"$90,000.00","$61,314.00"
BUZOS DE BAHIA,0203127048,BAHIA DE LOS ANGELES,ENSENADA,BC,"$90,000.00","$69,258.00"
EL CONSUELO SPR DE RL,0203008586,EJIDO VALLE TRANQUILO,ENSENADA,BC,"$67,000.00","$40,200.00"
JORGE VILLANUEVA TRILLAS,0203014865,RUIZ CORTINES (LA COYOTERA),ENSENADA,BC,"$90,000.00","$71,196.00"
