Entidad Federativa, Tipo, Nro Embarcaciones 2012

"AGUASCALIENTES"	"Embarcacion Menor"	1
"BAJA CALIFORNIA"	"Embarcacion Menor"	3
"BAJA CALIFORNIA SUR"	"Embarcacion Menor"	2
"CAMPECHE"	"Embarcacion Menor"	4
"CHIAPAS"	"Embarcacion Menor"	2
"CHIHUAHUA"	"Embarcacion Menor"
"COAHUILA"	"Embarcacion Menor"
"COLIMA"	"Embarcacion Menor"	2
"ESTADO DE MEXICO"	"Embarcacion Menor"
"GUANAJUATO"	"Embarcacion Menor"
"GUERRERO"	"Embarcacion Menor"	2
"HIDALGO"	"Embarcacion Menor"	1
"JALISCO"	"Embarcacion Menor"	1
"MICHOACAN"	"Embarcacion Menor"	2
"NAYARIT"	"Embarcacion Menor"	6
"NUEVO LE6N"	"Embarcacion Menor"
"OAXACA"	"Embarcacion Menor"
"PUEBLA"	"Embarcacion Menor"
"QUERETARO"	"Embarcacion Menor"	1
"QUINTANA ROO"	"Embarcacion Menor"	2
"SAN LUIS POTOSI"	"Embarcacion Menor"
"SINALOA"	"Embarcacion Menor"	18
"SONORA"	"Embarcacion Menor"	7
"TABASCO"	"Embarcacion Menor"
"TAMAULIPAS"	"Embarcacion Menor"	2
"VERACRUZ"	"Embarcacion Menor"	3
"YUCATAN"	"Embarcacion Menor"	2
"ZACATECAS"	"Embarcacion Menor"	1
