AÑO ,ESTADO,MUNICIPIO,LOCALIDAD, RNP TITULAR,TITULAR,PESQUERIA,FECHA INICIO,FECHA TERMINO,N°  EMB. ,NOMBRE EMBARCACIÓN,MATRICULA,ZONA DE PESCA
2012,GUERRERO,ACAPULCO DE JUAREZ,PLAYA ANGOSTA S/N,1201006713," PESCADORES ORIGINARIOS DE PLAYA ANGOSTA, SC DE RL DE CV",OSTION DE ROCA,04-18-12,04-17-17,1,EDWIN KALID,1202537410-8,"BANCOS LOZALIZADOS DE PUNTA BRUJA A PIE DE LA CUESTA (LIT. EDO. GRO.)PUNTA BRUJA, EL MORRO, LA ROQUETA Y LA QUEBRADA"
2012,SINALOA,ROSARIO,CHAMETLA,2510001320,"ACUICOLA ESTEFANI, SC DE RL DE CV",ESCAMA,07-23-12,07-22-16,5,VARIAS,,"AGUAS DE JURISDICCIÓN FEDERAL ADYACENTES AL MUNICIPIO DE ROSARIO, EN EL ESTADO DE SINALOA"
2012,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,305003188,ALEJANDRO ESTRADA CALDERON,CALAMAR,04-25-12,04-24-16,4,VARIAS,,"LITORAL DEL OCEANO PACIFICO, EN LA JURISDICCIÓN DEL MPIO DE LA PAZ"
2012,COLIMA,MANZANILLO,VALLE DE LAS GARZAS,601002900,ALEJANDRO MENDEZ PRECIADO,ESCAMA,11-07-12,09-12-16,1,AGNI,,LITORAL DEL ESTADO DE COLIMA
2012,OAXACA,SALINA CRUZ,SALINA CRUZ,2005003070,ALFREDO PINO RODRIGUEZ,ESCAMA MARINA,04-26-12,04-25-16,2,VARIAS,,LITORAL DEL ESTADO DE OAXACA: DE BARRA DE SAN FRANCISCO A MORRO AYUTA
2012,NAYARIT,SAN BLAS,SAN BLAS,1802000867,ANTONIO FREGOSO MANZANO,TIBURON,08-23-12,04-30-16,3,VARIAS,,AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO ADYACENTES AL  ESTADO DE NAYARIT
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA ,20300867,ANTONIO RUIZ HERNANDEZ,CALAMAR GIGANTE,10-12-12,10-11-16,1,EL TURKO,,AGUAS DE JURISDICCION FEDERAL DEL OCEANO PACIFICO DE LA COSTA OESTE DE BAJA CALIFORNIA
2012,SINALOA,ANGOSTURA,CHUMPOLEHUISTLE,2506001672,ARACELY ANGULO CERVANTES,RANA,06-12-12,06-11-16,0,,,"AGUAS CONTINENTALES DEL RIO MOCORITO, DISTRITO DE RIEGO NO. 74 Y NO. 10, EN EL MUNICIPIO DE  ANGOSTURA, EN EL ESTADO DE SINALOA"
2012,NAYARIT,BAHIA DE BANDERAS,PUNTA DE MITA,1807000854,ARMANDO GOMEZ GARCIA,ESCAMA MARINA,06-11-12,06-10-16,1,MARTHA,1802149513-3,AGUAS NACIONALES DEL LITORAL DEL ESTADO DE NAYARIT
2012,NAYARIT,SANTIAGO IXCUINTLA,PALMAR DE CUAUTLA,1803000759,ARNULFO PONCE MEDINA,ESCAMA MARINA,04-24-12,04-23-16,1,NUM.8,1801331513-8,AGUAS NACIONALES DEL LITORAL  DEL ESTADO DE NAYARIT
2012,BAJA CALIFORNIA,ENSENADA,EL ROSARIO,203009105,"ASOCIACION ARVI, S.P.R. DE R.L.",ESCAMA MARINA,09-26-12,09-25-16,2,VARIAS,,AGUAS DE JURISDICCION FEDERAL DEL OCEANO PACIFICO DE LA COSTA OESTE DE BAJA CALIFORNIA
2012,BAJA CALIFORNIA,ENSENADA,EL ROSARIO,203009105,"ASOCIACION ARVI, S.P.R. DE R.L.",CANGREJO,09-26-12,09-25-16,5,VARIAS,,COORDENADAS
2012,BAJA CALIFORNIA,ENSENADA,SAN QUINTIN,203011705,BERTOLDO GARCIA DUARTE,ESCAMA MARINA ,04-27-12,04-26-16,1,FANY II,0201179011-1,AGUAS DE JURISDICCIÓN FEDERAL DEL OCÉANO PACÍFICO DE LA COSTA OESTE DE BAJA CALIFORNIA
2012,GUERRERO,JOSE AZUETA,ZIHUATANEJO,12020003354,"BUEN RUMBO, S.C. DE R.L. DE C.V.",OSTION DE ROCA,12-21-12,12-20-17,9,VARIAS,,COORDENADAS
2012,GUERRERO,JOSE AZUETA,ZIHUATANEJO,12020003354,"BUEN RUMBO, S.C. DE R.L. DE C.V.",PULPO,12-21-12,12-20-17,9,VARIAS,,COORDENADAS
2012,BAJA CALIFORNIA,ENSENADA,MANEADERO,203008149,"BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU, S.P.R. DE R.L.",ESCAMA MARINA,10-04-12,05-31-16,12,VARIAS,,AGUAS DE JURISDICCIÓN FEDERAL DEL OCÉANO PACÍFICO DE LA COSTA OESTE DE BAJA CALIFORNIA
2012,SINALOA,ESCUINAPA,TEACAPAN,2504000965,CAMILO TOLEDO RENTERIA,TIBURON,07-06-12,04-30-16,2,VARIAS,,LITORAL DEL OCEANO PACIFICO EN EL ESTADO DE SINALOA
2012,SINALOA,ESCUINAPA,TEACAPAN,2504000965,CAMILO TOLEDO RENTERIA,ESCAMA,07-06-12,07-05-16,2,VARIAS,,LITORAL DEL OCEANO PACIFICO EN EL ESTADO DE SINALOA
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA ,203014644,CARLOS MARTIN GONZALEZ OLIVARES,CALAMAR GIGANTE,07-30-12,07-29-16,3,VARIAS,,AGUAS DE JURISDICCION FEDERAL DEL OCEANO PACIFICO DE LA COSTA OESTE DE BAJA CALIFORNIA
2012,BAJA CALIFORNIA,ENSENADA,BAHIA DE LOS ANGELES,203003058,CARLOS VERDUGO LEREE,TIBURON,08-03-12,04-30-16,2,VARIAS,,"AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL GOLFO DE CALIFORNIA, ADYACENTES AL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, FUERA DE LA ZONA NÚCLEO DE LA RESERVA DE LA BIOSFERA DEL ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO"
2012,BAJA CALIFORNIA,ENSENADA,BAHIA DE LOS ANGELES,203003058,CARLOS VERDUGO LEREE,ESCAMA MARINA ,08-19-12,08-18-16,3,VARIAS,,LITORAL DE LA COSTA ESTE DEL ESTADO DE BAJA CALIFORNIA
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508014418,CLAUDIO COVARRUBIAS CORRALES,ESCAMA,04-20-12,04-19-16,1,SUNSET,2503237613-3,AGUAS DE JURISDICCIÓN FEDERAL EN EL ESTADO DE SINALOA
2012,GUERRERO,LA UNIÓN,SAN JERONIMO,1202003126,COOP DE PROD PESQ Y ACUIC DE B Y S LAGUNA DE POTOSI SC DE RL DE CV,ESCAMA DE AGUA DULCE,04-27-12,04-26-17,22,VARIAS,,LAGUNA DE POTOSI
2012,GUERRERO,ACAPULCO DE JUAREZ,ACAPULCO,1201000302,COOPERATIVA DE PRODUCCIÓN PESQUERA EL CORMORAN SC DE RL DE CV,ESCAMA DE AGUA DULCE,04-26-12,04-25-16,3,VARIAS,,LAGUNA DE TRES PALOS
2012,GUERRERO,ACAPULCO DE JUAREZ,ACAPULCO ,1201000302,"COOPERATIVA DE PRODUCCION PESQUERA EL CORMORAN, S.C. DE R.L. DE C.V.",ESCAMA DE AGUA DULCE,04-26-12,04-25-16,3,VARIAS,,LAGUNA DE TRES PALOS
2012,GUERRERO,COYUCA DE BENITEZ,LOS MOGOTES,1201006200,"COOPERATIVA LA REYNA DE LOS MARES, S.C. DE R.L. DE C.V.",LANGOSTINO,06-28-12,06-27-16,5,VARIAS,,LAGUNA DE COYUCA
2012,GUERRERO,ACAPULCO DE JUAREZ,COLONIA FUERZA AEREA,1201000393,"COOPERATIVA PESQUERA 4 DE ENERO, SC DE RL DE CV",ESCAMA DE AGUA DULCE,08-28-12,08-27-16,4,VARIAS,,LAGUNA DE COYUCA
2012,GUERRERO,PETATLAN,BARRA DE POTOSI,1202003525,"COOPERATIVA PESQUERA POSA VERDE, SC DE RL",LANGOSTINO,04-27-12,04-26-17,27,VARIAS,,LAGUNA DE POTOSI
2012,GUERRERO,PETATLAN,BARRA DE POTOSI,1202003525,"COOPERATIVA PESQUERA POSA VERDE, SC DE RL",ESCAMA DE AGUA DULCE,04-27-12,04-26-17,27,VARIAS,,LAGUNA DE POTOSI
2012,GUERRERO,ACAPULCO DE JUAREZ,SAN PEDRO LAS PLAYAS,1201000351,"COPERATIVA DE PRODUCCIÓN PESQUERA EL ENCANTO DE LOS CHANEQUES, S.C. DE R.L. DE C.V.",ESCAMA DE AGUA DULCE,04-10-12,04-09-16,2,VARIAS,,LAGUNA DE TRES PALOS
2012,NAYARIT,COMPOSTELA,CHACALA,1801000744,"COSTA DE CHILA, PEÑITA Y BOCA DE AMECA, S.C. DE R.L. DE C.V.",ESCAMA MARINA,12-10-12,12-09-16,14,VARIAS,,AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL ESTADO DE NAYARIT
2012,NAYARIT,SAN BLAS,SAN BLAS,1802001063,DOROTEO PELAYO OJEDA,ESCAMA MARINA,06-11-12,06-10-16,2,VARIAS,,AGUAS NACIONALES DEL LITORAL DEL ESTADO DE NAYARIT
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA ,203013017,EDUARDO AVILA YANEZ,ESCAMA MARINA,10-02-12,10-01-16,1,MARIA,020127613-9,AGUAS DE JURISDICCION FEDERAL DEL OCEANO PACIFICO DE LA COSTA OESTE DE BAJA CALIFORNIA
2012,GUERRERO,ACAPULCO DE JUAREZ,SAN PEDRO LAS PLAYAS,1201000336,"EL BATALLON DE SAN PEDRO, SC DE RL DE CV",ESCAMA DE AGUA DULCE,07-03-12,07-02-16,2,VARIAS,,LAGUNA DE TRES PALOS
2012,GUERRERO,COYUCA DE BENITEZ,EL ESPINALILLO,1201007752,"EL MANGLAR DE ESPINALILLO, SC DE RL",LANGOSTINO  ,03-30-12,03-29-17,6,VARIAS,,LAGUNA DE COYUCA
2012,GUERRERO,COYUCA DE BENITEZ,EL ESPINALILLO,1201007752,"EL MANGLAR DE ESPINALILLO, SC DE RL",ESCAMA DE AGUA DULCE,03-30-12,03-29-17,6,VARIAS,,LAGUNA DE COYUCA
2012,SINALOA,MAZATLÁN,CHAMETLA,2510001338,ELEAZAR HERNANDEZ MORALES,ESCAMA MARINA,11-13-12,11-12-16,2,VARIAS,,AGUAS DE JURISDICCION FEDERAL DEL OCEANO PACIFICO  
2012,SINALOA,NAVOLATO,VILLA JUAREZ,2501001412,ELIGIO DONES RIVAS,ESCAMA DE AGUA DULCE,08-01-12,07-31-16,6,VARIAS,,"AGUAS CONTINENTALES DE LA LAGUNA DE CAIMANERO CORRESPONDIENTE AL MUNICIPIO DE NAVOLATO, EN EL ESTADO DE SINALOA"
2012,GUERRERO,CUAJINICUILAPA,PUNTA MALDONADO,1205001413,ELISEO CAMACHO DE LA CRUZ,ESCAMA,03-21-12,03-20-17,4,VARIAS,,LITORAL DEL ESTADO DE GUERRERO
2012,BAJA CALIFORNIA,ENSENADA,SANTO TOMAS,203004866,"ERIPAC, S.A. DE C.V.",ERIZO MORADO,09-07-12,09-06-16,7,VARIAS,,COORDENADAS
2012,GUERRERO,PETATLAN,PETATLAN,1202001077,ERNESTINO GONZALEZ CHAVEZ,LANGOSTINO,05-03-12,05-02-17,0,NINGUNA,,RIO PETATLAN
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203126743,ESTELA MARTINEZ SALGADO,TIBURON,07-30-12,04-30-16,3,VARIAS,,"AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL GOLFO DE CALIFORNIA ADYACENTES AL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA FUERA DE LA ZONA NÚCLEO DE LA RESERVA DE LA BIOSFERA DEL ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO."
2012,NAYARIT,BAHIA DE BANDERAS,NUEVO CORRAL DEL RISCO,1807000680,EVA ESPARZA ORTEGA,ESCAMA MARINA,08-20-12,08-19-17,1,EVA II,1802161813-2,AGUAS DE JURISDICCION FEDERAL DEL ESTADO DE NAYARIT
2012,SINALOA,ANGOSTURA,LA REFORMA,2506001656,FERNANDO ROSAS SANCHEZ,TIBURON,05-24-12,04-30-16,6,VARIAS,,"AGUAS DE JURISDICCIÓN FEDERAL, EN EL ESTADO DE SINALOA"
2012,BAJA CALIFORNIA,ENSENADA,EL SAUZAL,203014592,FILIBERTO MENDOZA BERNAL,CALAMAR GIGANTE,10-23-12,10-22-16,2,VARIAS,,AGUAS DE JURISDICCION FEDERAL DEL OCEANO PACIFICO DE LA COSTA OESTE DE BAJA CALIFORNIA
2012,SINALOA,NAVOLATO,DAUTILLOS,2509001372,FRANCISCO JAVIER GONZALEZ CAMARGO,ESCAMA MARINA,11-16-12,11-15-16,2,VARIAS,,AGUAS DE JURISDICCION FEDERAL DEL ESTADO DE SINALOA
2012,SINALOA,CULIACAN,COSTA RICA,2501001313,FRANCISCO JAVIER ORDOÑO OCHOA,RANA,08-01-12,07-31-16,0,NINGUNA,,AGUAS CONTINENTALES DEL DISTRITO DE RIEGO NO. 136 EN EL ESTADO DE SINALOA
