GUÍA DEL USUARIO: SE ANEXAN DATOS DE AVISOS DE ARRIBO DE ESPECIES PESQUERAS CAPTURADAS EN MÉXICO DEL AÑO 2014. LAS ENTIDADES FEDERATIVAS SE ORDENAN ALFABETICAMENTE. |||||||||||||||
ENTIDAD FEDERATIVA|CLAVE SITIO DE DESEMBARQUE|NOMBRE SITIO DE DESEMBARQUE|LUGAR DE CAPTURA|CLAVE LUGAR DE CAPTURA|CLAVE OFICINA|OFICINA|MES|AÑO|NOMBRE PRINCIPAL|CLAVE ESPECIE|NOMBRE ESPECIE|PESO DESEMBARCADO|PESO VIVO|VALOR|LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|5000|5000|300000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|JUNIO|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|100|100|6000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|JUNIO|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|20|20|1000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|JUNIO|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|2000|2000|100000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|NOVIEMBRE|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|400|400|24000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|AGOSTO|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|9080|9988|454000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|ENERO|2014|MOJARRA|5013239V|TILAPIA DE CULTIVO VIVA|500|500|19000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|ENERO|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|400|440|20000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|OCTUBRE|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|400|400|15200|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|OCTUBRE|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|100|100|6000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|DICIEMBRE|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|6700|7370|402000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|DICIEMBRE|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|15000|16500|750000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|DICIEMBRE|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|8271|9098.1|413550|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|JULIO|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|15000|16500|750000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|NOVIEMBRE|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|178|195.8|8010|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|NOVIEMBRE|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|500|550|27500|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|FEBRERO|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|1200|1200|54000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|11300|12430|565000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|NOVIEMBRE|2014|MOJARRA|5011630H|TILAPIA DE CULTIVO  DESV. FCA.|11300|12430|678000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|1000|1000|60000|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|ENERO|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|359|359|16155|SIN LITORAL
AGUASCALIENTES|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|INFORMACIÓN NO DISPONIBLE|101|AGUASCALIENTES|MARZO|2014|MOJARRA|5011432H|TILAPIA DE CULTIVO ENT. FCA.|1489|1489|74450|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|855|855|17100|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|FEBRERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|475|475|9500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|NOVIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|2475|2475|54450|SIN LITORAL
