Entidad Federativa, Tipo, Nro Embarcaciones 2010
"AGUASCALIENTES"	"Embarcacion Menor" 1
"BAJA CALIFORNIA"	"Embarcacion Menor"	2
"BAJA CALIFORNIA SUR"	"Embarcacion Menor"	2
"CAMPECHE"	"Embarcacion Menor"	3
"CHIAPAS"	"Embarcacion Menor"	2
"CHIHUAHUA"	"Embarcacion Menor"
"COAHUILA"	"Embarcacion Menor"
"COLIMA"	"Embarcacion Menor"	2
"ESTADO DE MEXICO"	"Embarcacion Menor"	1
"GUANAJUATO"	"Embarcacion Menor"
"GUERRERO"	"Embarcacion Menor"	2
"HIDALGO"	"Embarcacion Menor"
"JALISCO"	"Embarcacion Menor"
"MICHOACAN"	"Embarcacion Menor"	2
"NAYARIT"	"Embarcacion Menor"	4
"NUEVO LE6N"	"Embarcacion Menor"
"OAXACA"	"Embarcacion Menor"	2
"PUEBLA"	"Embarcacion Menor"
"QUERETARO"	"Embarcacion Menor"	1
"QUINTANA ROO"	"Embarcacion Menor"	2
"SAN LUIS POTOSI"	"Embarcacion Menor"
"SINALOA"	"Embarcacion Menor"	20
"SONORA"	"Embarcacion Menor"	5
"TABASCO"	"Embarcacion Menor"	2
"TAMAULIPAS"	"Embarcacion Menor"	4
"VERACRUZ"	"Embarcacion Menor"	3
"YUCATAN"	"Embarcacion Menor"	2
"ZACATECAS"	"Embarcacion Menor"
