Entidad Federativa,2009,2010,2011,2012,2013
Aguascalientes,149,203,261,70,36
Baja California,1296,1121,580,1862,2272
Baja California Sur,679,203,4101,243,1017
Campeche,1940,1415,438,230,1494
Chiapas,264,310,242,253,356
Chihuahua,1311,208,112,175,106
Coahuila,7,45,-,40,35
Colima,265,331,335,108,215
Distrito Federal,-,-,-,-,-
Durango,30,192,173,246,132
Estado de México,25,46,87,58,71
Guanajuato,16,176,38,21,158
Guerrero,275,548,351,202,51
Hidalgo,505,491,192,110,209
Jalisco,2552,2102,3993,1087,3045
Michoacán,991,717,2816,730,2051
Morelos,331,119,6,4,11
Nayarit,1873,1724,1603,14,1634
Nuevo León,5,25,10,16,4
Oaxaca,248,179,242,59,156
Puebla,81,1,41,-,-
Querétaro,348,3021,83,43,18
Quintana Roo,28,201,132,79,20
San Luis Potosí,10,501,661,42,19
Sinaloa,645,2206,646,1372,929
Sonora,2241,773,202,126,240
Tabasco,44,149,23,33,191
Tamaulipas,1556,359,379,193,362
Tlaxcala,111,1,-,2,23
Veracruz,2015,1725,1402,1841,1600
Yucatán,355,297,207,211,196
Zacatecas,4,14,17,16,47
