Entidad Federativa, Tipo, Nro Embarcaciones 2011
"AGUASCALIENTES"	"Embarcacion Menor"	1
"BAJA CALIFORNIA"	"Embarcacion Menor"	3
"BAJA CALIFORNIA SUR"	"Embarcacion Menor"	2
"CAMPECHE"	"Embarcacion Menor"	4
"CHIAPAS"	"Embarcacion Menor"	2
"CHIHUAHUA"	"Embarcacion Menor"
"COAHUILA"	"Embarcacion Menor"
"COLIMA"	"Embarcacion Menor"	2
"ESTADO DE MEXICO"	"Embarcacion Menor"
"GUANAJUATO"	"Embarcacion Menor"	1
"GUERRERO"	"Embarcacion Menor"	2
"HIDALGO"	"Embarcacion Menor"	1
"JALISCO"	"Embarcacion Menor"
"MICHOACAN"	"Embarcacion Menor"	2
"NAYARIT"	"Embarcacion Menor"	5
"NUEVO LE6N"	"Embarcacion Menor"
"OAXACA"	"Embarcacion Menor"
"PUEBLA"	"Embarcacion Menor"	1
"QUERETARO"	"Embarcacion Menor"	1
"QUINTANA ROO"	"Embarcacion Menor"	2
"SAN LUIS POTOSI"	"Embarcacion Menor"	1
"SINALOA"	"Embarcacion Menor"	19
"SONORA"	"Embarcacion Menor"	7
"TABASCO
TAMAULIPAS"	"Embarcacion Menor
Embarcacion Menor"	2
"VERACRUZ"	"Embarcacion Menor"	3
"YUCATAN"	"Embarcacion Menor"	2
"ZACATECAS"	"Embarcacion Menor"	1
