,,,,,,
,COMISIÓN NACIONAL DE ACUACULTURA Y PESCA,,,,,
,DIRECCIÓN GENERAL DE ORDENAMIENTO PESQUERO Y ACUÍCOLA,,,,,
,,,,,,
,ANEXO AL SISI 2314,,,,,
,,,,,,
,TITULAR,PAIS DE PROCEDENCIA,ESPECIE QUE AMPARA,AREA PARA LA CUAL SE DA EL TITULO,FECHA INICIO,FECHA TERMINO
,"Empresa Flota del Golfo, Ministerio de la Industria Alimentaria",Cuba,"Mero, huachinango y especies asociadas, sierra y serrucho.",Zona exclusiva del Golfo de México y Mar Caribe,2/4/2014,12/31/2014
,"Empresa Flota del Golfo, Ministerio de la Industria Alimentaria",Cuba,"Mero, huachinango y especies asociadas, sierra y serrucho. Funciones de apoyo, taller, localización de cardúmenes y crucero de investigación.",Zona exclusiva del Golfo de México y Mar Caribe,2/4/2014,12/31/2014
,"Empresa Flota del Golfo, Ministerio de la Industria Alimentaria",Cuba,"Mero, huachinango y especies asociadas, sierra y serrucho.",Zona exclusiva del Golfo de México y Mar Caribe,2/4/2014,12/31/2014
,"Empresa Flota del Golfo, Ministerio de la Industria Alimentaria",Cuba,"Mero, huachinango y especies asociadas, sierra y serrucho.",Zona exclusiva del Golfo de México y Mar Caribe,2/4/2014,12/31/2014
,"Empresa Flota del Golfo, Ministerio de la Industria Alimentaria",Cuba,"Mero, huachinango y especies asociadas, sierra y serrucho. Funciones de apoyo, taller, localización de cardúmenes y crucero de investigación.",Zona exclusiva del Golfo de México y Mar Caribe,2/4/2014,12/31/2014
,"Empresa Flota del Golfo, Ministerio de la Industria Alimentaria",Cuba,"Mero, huachinango y especies asociadas, sierra y serrucho. Funciones de apoyo, taller, localización de cardúmenes y crucero de investigación.",Zona exclusiva del Golfo de México y Mar Caribe,2/4/2014,12/31/2014
