Beneficiario,RNPA,Estado,Municipio,Localidad,Monto_federal,Monto_estatal
"ACUICOLA BOCA, SA DE CV",2602002350,SONORA,CAJEME,CIUDAD OBREGON,584645,140315
"EL CAMARON DORADO, SA DE CV",2609001033,SONORA,CAJEME,CIUDAD OBREGON,582349,139764
"ACUICOLA SELECTA, SA DE CV",2605001110,SONORA,HERMOSILLO,HERMOSILLO,1460085,350420
"ACUICOLA SAYRI, SA DE CV",2611001344,SONORA,HERMOSILLO,HERMOSILLO,2184266,524224
"OASIS ACUICOLA, SA DE CV",2611000973,SONORA,HERMOSILLO,HERMOSILLO,164249,39420
"KINO ACUACULTORES, SA DE CV",2611000841,SONORA,HERMOSILLO,HERMOSILLO,553971,132953
"KIWIS ACUACULTORES, S.P.R. DE  R.L.",2611002227,SONORA,HERMOSILLO,HERMOSILLO,558798,134112
"ACUICOLA MARRION, SA DE CV",2611002235,SONORA,HERMOSILLO,HERMOSILLO,517974,124314
"GRANJAS AQUANOVA, SA DE CV",2611002250,SONORA,HERMOSILLO,HERMOSILLO,1881045,451451
"ACUICOLA LA BORBOLLA, SA DE CV",2611001310,SONORA,HERMOSILLO,HERMOSILLO,702961,168711
"ACUICOLA SOID, SA DE CV",2604011763,SONORA,HERMOSILLO,HERMOSILLO,1307111,313707
"ACUICOLA SAN FERNANDO, SA DE CV",2605001102,SONORA,HERMOSILLO,HERMOSILLO,553971,132953
"ACUACULTURA SANTA FE, SA DE CV",2605001276,SONORA,HERMOSILLO,HERMOSILLO,1728339,414801
"GUAY MAR ACUICOLA, SA DE CV",2605001417,SONORA,HERMOSILLO,HERMOSILLO,4016542,963970
"M&M ACUACULTORES, S DE P. R. DE R. L.",2611001336,SONORA,HERMOSILLO,HERMOSILLO,730813,175395
"GRAN KINO SINALOENSE, SA DE CV",2611001088,SONORA,HERMOSILLO,HERMOSILLO,876051,210252
"MARICULTURA DEL PACIFICO, SA DE CV",2508006547,SONORA,HERMOSILLO,HERMOSILLO,1596830,383239
