Año,Estado,Municipio,,Localidad,Numero de Solicitudes Ingresadas,Numero de Apoyos Otorgados,Monto
2015,Baja California,Ensenada,,Ensenada,25,7,3.27
2015,Baja California,La Paz,,La Paz,2,0,0.00
2015,CAMPECHE,Campeche,,Campeche,22,4,8.57
2015,NAYARIT,Tepic,,Tepic,1,1,0.38
2015,OAXACA,Salina Cruz,,Salina Cruz,2,1,0.40
2015,QUINTANA ROO,Benito Juarez,,Cancun,1,0,0.00
2015,SINALOA,Mazatlan,,Mazatlan,65,40,74.59
2015,SINALOA,Guasave,,Guasave,1,1,2.13
2015,SINALOA,Aho Me,,TOPOLOBAMPO,18,7,6.67
2015,SONORA,Guaymas,,Guaymas,66,31,59.21
2015,SINALOA,Puerto Penasco,,Puerto Penasco,55,20,38.59
2015,SONORA,Ciudad Obregon,,Ciudad Obregon,4,2,2.00
2015,TABASCO,Villa Hermosa,,VILLA HERMOSA,9,9,5.72
2015,TAMAULIPAS,Tampico,,TAMPICO,37,18,22.68
2015,VERACRUZ,Veracruz,,VERACRUZ,19,4,2.95
2015,YUCATAN,Merida,,Merida,44,22,28.54
2014,Baja California,Ensenada,,Ensenada,16,15,8.12
2014,Baja California,San Felipe,,San Felipe,2,1,1.09
2014,Baja California,La Paz,,La Paz,,,
2014,CAMPECHE,Campce,,Campeche,18,18,7.14
2014,CAMPECHE,El Carmen,,El Carmen,2,1,0.18
2014,COLIMA,Manzanillo,,Manzanillo,1,1,0.38
2014,NAYARIT,Tepic,,Tepic,,,
2014,OAXACA,Salina Cruz,,Salina Cruz,8,7,3.51
2014,QUINTANA ROO,Benito Juarez,,Cancun,1,1,0.77
2014,SINALOA,Mazatlan,,Mazatlan,80,76,102.77
2014,SINALOA,Guasave,,Guasave,1,1,1.00
2014,SINALOA,Aho Me,,Topolobampo,24,20,17.74
2014,SONORA,Guaymas,,Guaymas,76,51,78.17
2014,SONORA,Puerto Penasco,,Puerto Penasco,51,50,77.50
2014,SONORA,Huatabampo,,Huatabampo,5,4,4.75
2014,TABASCO,Villa Hermosa,,VILLA HERMOSA,0,,
2014,TAMAULIPAS,Tampico,,TAMPICO,31,30,29.09
2014,VERACRUZ,Alvarado,,Alvarado,13,13,10.76
2014,VERACRUZ,Tuxpan,,Tux Pan,4,4,11.38
2014,VERACRUZ,Veracruz,,Vera Cruz,2,,
2014,YUCATAN,Progreso,,Progreso,40,15,13.53
