COMISION NACIONAL DE ACUACULTURA Y PESCA||||||||||||||||||
DIRECCIÓN GENERAL DE INSPECCIÓN Y VIGILANCIA||||||||||||||||||
INFORME DE RESULTADOS DE LAS ACTIVIDADES REALIZADAS POR LOS OFICIALES FEDERALES DE PESCA||||||||||||||||||
INFORMACIÓN AL DÍA:|31 de diciembre de 2015|||||||||||||||||
||||RECORRIDOS|||PRODUCTO RETENIDO|||BIENES RETENIDOS||||||||
ESTADO|ACTAS|VERIFICACIONES||TERRESTRES|ACUATICOS||KILOGRAMOS|UNIDADES||ARTES DE PESCA|PERSONAS AL MP|VEHICULOS|EMB.  MAYORES|EMB. MENORES||||
AGUASCALIENTES|0|0||0|0||0|0||0|0|0|0|0||||
BAJA CALIFORNIA|452|2742||2225|1286||302625.62|13928||1078|35|49|4|101||||
BAJA CALIFORNIA SUR|402|3137||1803|651||169369.549|8826.5||404|34|45|17|68||||
CAMPECHE|208|304||441|272||127287|10||93|18|36|2|13||||
CHIAPAS|172|858||373|189||1385487.8|0||842|0|2|0|7||||
CHIHUAHUA|51|138||135|70||77030|12659||123|0|0|0|1||||
COAHUILA|0|0||0|0||0|0||0|0|0|0|0||||
COLIMA|135|168||366|191||1687216|6506007||233|0|1|0|5||||
DF|147|308||321|0||21906|291||0|0|16|0|0||||
DURANGO|0|0||0|0||0|0||0|0|0|0|0||||
ESTADO DE MEXICO|87|90||79|55||16345.05|208966||49|0|0|0|3||||
GUANAJUATO|10|8||58|27||150|0||23|0|0|0|1||||
GUERRERO|55|319||947|29||23887|135||7|1|25|0|6||||
HIDALGO|18|83||58|63||0|63610||23|0|0|0|0||||
JALISCO|326|448||649|160||3819005.1979999999|64||1750|0|16|0|40||||
MICHOACAN|110|345||407|119||31096|5025||2834|0|46|0|5||||
MORELOS|15|40||144|18||5|0||13|0|0|0|1||||
NAYARIT|127|239||772|468||75127.600000000006|4||199|4|48|2|16||||
NUEVO LEON|0|0||0|0||0|0||0|0|0|0|0||||
OAXACA|140|336||1548|291||18739.5|7584||41|3|27|0|12||||
PUEBLA|40|73||145|30||106327|10140||6|0|11|0|1||||
QUERETARO|13|0||66|46||3|6||29|0|0|0|1||||
QUINTANA ROO|32|370||328|297||4618|0||44|11|0|1|2||||
SAN LUIS POTOSI|4|0||116|41||369|9||3|0|0|0|1||||
SINALOA|360|4555||3825|5055||85414|606049||1385|16|37|1|29||||
SONORA|348|969||2346|1554||236621.45|865||280|12|27|1|70||||
TABASCO|92|181||230|165||19645|4000||56|0|3|0|0||||
TAMAULIPAS|87|363||1017|316||0|0||71|0|0|0|0||||
TLAXCALA |51|53||66|13||4837|14807||0|0|0|0|0||||
VERACRUZ|412|983||930|1028||31702.600000000002|4925||671|0|20|0|27||||
YUCATAN|318|700||747|226||186371|6||147|0|40|1|5||||
ZACATECAS|19|0||75|28||17913.2|0||28|0|0|0|0||||
TOTALES|4231|17810||20217|12688||8449098.5669999979|7467916.5||10432|134|449|29|415||||
