<New Sheet> 1 - Hoja1
FORMATO DEL AVANCE FISICO FINANCIERO AL 31 DE DICIEMBRE DEL 2014|||||AVANCE FINANCIERO COMPONENTE 2014 - 2015||
DIRECCIÓN GENERAL DE INSPECCIÓN Y VIGILANCIA|||||SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS||
|||||Inspección y Vigilancia / Área: CONAPESCA|2014|2015
CONCEPTO| Ejercido a Diciembre (mdp)||||Estados||
Gasto corriente (Nacional)|||||BAJA CALIFORNIA|3266900|3146833
Gasto Operativo|38||||BAJA CALIFORNIA SUR|3163200|4431565
Sistema de Monitoreo Satelital|25.7||||CAMPECHE|898080|
Semar|62.3||||COAHUILA|154400|
|126||||COLIMA|966800|1204462
|||||JALISCO|2042030|
|||||MICHOACÁN|995913|375970
|||||NAYARIT|3462706|
FORMATO DEL AVANCE FISICO FINANCIERO AL 31 DE DICIEMBRE DEL 2015|||||OAXACA|829385.6|480080.4
DIRECCIÓN GENERAL DE INSPECCIÓN Y VIGILANCIA|||||QUINTANA ROO|750500|529848
|||||SINALOA|30497744.5|26597434.600000001
|||||SONORA|8969320|6036526.4000000004
CONCEPTO| Ejercido a Diciembre (mdp)||||TAMAULIPAS|1979847.5|1422209
Gasto corriente (Nacional)|||||VERACRUZ|6261046.4000000004|3998162
Gasto Operativo|53.53||||YUCATÁN|1106448|670428
Sistema de Monitoreo Satelital|42.05||||**OTROS|4998300|3206550
Semar|4.96||||Total|70342621|52100068.399999999
|100.53999999999999||||||
