Entidad Federativa,2009,2010,2011,2012,2013
Aguascalientes,-,1,5,-,-
Baja California,37,56,77,47,61
Baja California Sur,90,66,90,61,105
Campeche,67,75,53,23,17
Chiapas,10,1,5,4,-
Chihuahua,3,1,-,-,2
Coahuila,2,2,-,2,-
Colima,1,-,-,1,4
Distrito Federal,-,-,-,-,-
Durango,-,-,-,-,-
Estado de México,-,2,5,1,-
Guanajuato,5,9,3,9,23
Guerrero,8,4,8,28,14
Hidalgo,1,-,-,-,1
Jalisco,5,12,24,24,19
Michoacán,3,13,22,15,12
Morelos,-,-,-,-,-
Nayarit,37,58,44,20,24
Nuevo León,-,1,-,-,-
Oaxaca,4,5,8,2,2
Puebla,-,-,-,-,-
Querétaro,4,3,3,-,-
Quintana Roo,12,11,10,16,12
San Luis Potosí,-,-,-,1,-
Sinaloa,60,88,53,25,29
Sonora,34,73,117,73,53
Tabasco,14,16,7,1,3
Tamaulipas,25,13,4,1,1
Tlaxcala,4,5,-,-,-
Veracruz,65,68,83,53,41
Yucatán,10,39,55,17,28
Zacatecas,1,-,-,1,2
