Entidad_Federativa,Año,Arte_Pesca_Incautadas
Aguascalientes,2009,149
Aguascalientes,2010,203
Aguascalientes,2011,261
Aguascalientes,2012,70
Aguascalientes,2013,36
Baja California,2009,1296
Baja California,2010,1121
Baja California,2011,580
Baja California,2012,1862
Baja California,2013,2272
Baja California Sur,2009,679
Baja California Sur,2010,203
Baja California Sur,2011,4101
Baja California Sur,2012,243
Baja California Sur,2013,1017
Campeche,2009,1940
Campeche,2010,1415
Campeche,2011,438
Campeche,2012,230
Campeche,2013,1494
Chiapas,2009,264
Chiapas,2010,310
Chiapas,2011,242!
Chiapas,2012,253
Chiapas,2013,356
Chihuahua,2009,131
Chihuahua,2010,208
Chihuahua,2011,112
Chihuahua,2012,175
Chihuahua,2013,106
Coahuila,2009,7
Coahuila,2010,45
Coahuila,2011,-0
Coahuila,2012,40
Coahuila,2013,35
Colima,2009,265
Colima,2010,331
Colima,2011,335
Colima,2012,108
Colima,2013,215
Distrito Federal,2009,-0
Distrito Federal,2010,-0
Distrito Federal,2011,
Distrito Federal,2012,-0
Distrito Federal,2013,-0
Durango,2009,30
Durango,2010,192
Durango,2011,173
Durango,2012,246
Durango,2013,132
Estado de México,2009,25
Estado de México,2010,46
Estado de México,2011,87
Estado de México,2012,58
Estado de México,2013,71
Guanajuato,2009,16
Guanajuato,2010,176
Guanajuato,2011,38
Guanajuato,2012,21
Guanajuato,2013,158
Guerrero,2009,275
Guerrero,2010,548
Guerrero,2011,351
Guerrero,2012,202
Guerrero,2013,51
Hidalgo,2009,505
Hidalgo,2010,491
Hidalgo,2011,192
Hidalgo,2012,110
Hidalgo,2013,209
Jalisco,2009,2552
Jalisco,2010,2102
Jalisco,2011,3993
Jalisco,2012,1087
Jalisco,2013,3045
Michoacán,2009,99
Michoacán,2010,717
Michoacán,2011,2816
Michoacán,2012,730
Michoacán,2013,2051
Morelos,2009,33
Morelos,2010,119
Morelos,2011,6
Morelos,2012,4
Morelos,2013,11
Nayarit,2009,1873
Nayarit,2010,1724
Nayarit,2011,1603
Nayarit,2012,14
Nayarit,2013,1634
Nuevo León,2009,5
Nuevo León,2010,25
Nuevo León,2011,10
Nuevo León,2012,16
Nuevo León,2013,4
Oaxaca,2009,248
Oaxaca,2010,179
Oaxaca,2011,242
Oaxaca,2012,59
Oaxaca,2013,156
Puebla,2009,8
Puebla,2010,1
Puebla,2011,41
Puebla,2012,-0
Puebla,2013,-0
Querétaro,2009,348
Querétaro,2010,302
Querétaro,2011,83
Querétaro,2012,43
Querétaro,2013,18
Quintana Roo,2009,28
Quintana Roo,2010,20
Quintana Roo,2011,132
Quintana Roo,2012,79
Quintana Roo,2013,20
San Luis Potosí,2009,10
San Luis Potosí,2010,50
San Luis Potosí,2011,66
San Luis Potosí,2012,42
San Luis Potosí,2013,19
Sinaloa,2009,645
Sinaloa,2010,2206
Sinaloa,2011,646
Sinaloa,2012,1372
Sinaloa,2013,929
Sonora,2009,224
Sonora,2010,773
Sonora,2011,202
Sonora,2012,126
Sonora,2013,240
Tabasco,2009,44
Tabasco,2010,149
Tabasco,2011,23
Tabasco,2012,33
Tabasco,2013,191
Tamaulipas,2009,1556
Tamaulipas,2010,359
Tamaulipas,2011,379
Tamaulipas,2012,193
Tamaulipas,2013,362
Tlaxcala,2009,11
Tlaxcala,2010,"1,725;"
Tlaxcala,2011,-0
Tlaxcala,2012,2
Tlaxcala,2013,23
Veracruz,2009,2015
Veracruz,2010,1725
Veracruz,2011,1402
Veracruz,2012,1841
Veracruz,2013,1600
Yucatán,2009,355
Yucatán,2010,297
Yucatán,2011,207
Yucatán,2012,211
Yucatán,2013,196
Zacatecas,2009,4
Zacatecas,2010,14
Zacatecas,2011,17
Zacatecas,2012,16
Zacatecas,2013,47
