Entidad_Federativa,Año,Embarcaciones_Incautadas
Aguascalientes,2009,-0
Aguascalientes,2010,1
Aguascalientes,2011,5
Aguascalientes,2012,-0
Aguascalientes,2013,-0
Baja California,2009,37
Baja California,2010,56
Baja California,2011,77
Baja California,2012,47
Baja California,2013,61
Baja California Sur,2009,90
Baja California Sur,2010,66
Baja California Sur,2011,90
Baja California Sur,2012,61
Baja California Sur,2013,105
Campeche,2009,67
Campeche,2010,75
Campeche,2011,53
Campeche,2012,23
Campeche,2013,17
Chiapas,2009,10
Chiapas,2010,1
Chiapas,2011,5
Chiapas,2012,4
Chiapas,2013,-0
Chihuahua,2009,3
Chihuahua,2010,1
Chihuahua,2011,-0
Chihuahua,2012,-0
Chihuahua,2013,2
Coahuila,2009,2
Coahuila,2010,2
Coahuila,2011,-0
Coahuila,2012,2
Coahuila,2013,-0
Colima,2009,1
Colima,2010,-0
Colima,2011,-0
Colima,2012,1
Colima,2013,4
Distrito Federal,2009,-0
Distrito Federal,2010,-0
Distrito Federal,2011,-0
Distrito Federal,2012,-0
Distrito Federal,2013,-0
Durango,2009,-0
Durango,2010,-0
Durango,2011,-0
Durango,2012,-0
Durango,2013,-0
Estado de México,2009,-0
Estado de México,2010,2
Estado de México,2011,5
Estado de México,2012,1
Estado de México,2013,-0
Guanajuato,2009,5
Guanajuato,2010,9
Guanajuato,2011,3
Guanajuato,2012,9
Guanajuato,2013,23
Guerrero,2009,8
Guerrero,2010,4
Guerrero,2011,8
Guerrero,2012,28
Guerrero,2013,14
Hidalgo,2009,1
Hidalgo,2010,-0
Hidalgo,2011,-0
Hidalgo,2012,-0
Hidalgo,2013,1
Jalisco,2009,5
Jalisco,2010,12
Jalisco,2011,24
Jalisco,2012,24
Jalisco,2013,19
Michoacán,2009,3
Michoacán,2010,13
Michoacán,2011,22
Michoacán,2012,15
Michoacán,2013,12
Morelos,2009,-0
Morelos,2010,-0
Morelos,2011,-0
Morelos,2012,-0
Morelos,2013,-0
Nayarit,2009,37
Nayarit,2010,58
Nayarit,2011,44
Nayarit,2012,20
Nayarit,2013,24
Nuevo León,2009,-0
Nuevo León,2010,1
Nuevo León,2011,-0
Nuevo León,2012,-0
Nuevo León,2013,-0
Oaxaca,2009,4
Oaxaca,2010,5
Oaxaca,2011,8
Oaxaca,2012,2
Oaxaca,2013,2
Puebla,2009,-0
Puebla,2010,-0
Puebla,2011,-0
Puebla,2012,-0
Puebla,2013,-0
Querétaro,2009,4
Querétaro,2010,3
Querétaro,2011,3
Querétaro,2012,-0
Querétaro,2013,-0
Quintana Roo,2009,12
Quintana Roo,2010,11
Quintana Roo,2011,10
Quintana Roo,2012,16
Quintana Roo,2013,12
San Luis Potosí,2009,-0
San Luis Potosí,2010,-0
San Luis Potosí,2011,-0
San Luis Potosí,2012,1
San Luis Potosí,2013,-0
Sinaloa,2009,60
Sinaloa,2010,88
Sinaloa,2011,53
Sinaloa,2012,25
Sinaloa,2013,29
Sonora,2009,34
Sonora,2010,73
Sonora,2011,117
Sonora,2012,73
Sonora,2013,53
Tabasco,2009,14
Tabasco,2010,16
Tabasco,2011,7
Tabasco,2012,1
Tabasco,2013,3
Tamaulipas,2009,25
Tamaulipas,2010,13
Tamaulipas,2011,4
Tamaulipas,2012,1
Tamaulipas,2013,1
Tlaxcala,2009,4
Tlaxcala,2010,5
Tlaxcala,2011,-0
Tlaxcala,2012,-0
Tlaxcala,2013,-0
Veracruz,2009,65
Veracruz,2010,68
Veracruz,2011,83
Veracruz,2012,53
Veracruz,2013,41
Yucatán,2009,10
Yucatán,2010,39
Yucatán,2011,55
Yucatán,2012,17
Yucatán,2013,28
Zacatecas,2009,1
Zacatecas,2010,-0
Zacatecas,2011,-0
Zacatecas,2012,1
Zacatecas,2013,2
