Año,Estado,Especie,Cantidad
2009,BAJA CALIFORNIA SUR,ABULON,0
2009,CAMPECHE,ABULON,0
2009,CHIAPAS,ABULON,0
2009,CHIHUAHUA,ABULON,0
2009,COAHUILA,ABULON,0
2009,COLIMA,ABULON,0
2009,DF,ABULON,0
2009,DURANGO,ABULON,0
2009,ESTADO DE MEXICO,ABULON,0
2009,GUANAJUATO,ABULON,0
2009,GUERRERO,ABULON,0
2009,HIDALGO,ABULON,0
2009,JALISCO,ABULON,0
2009,MICHOACAN,ABULON,0
2009,MORELOS,ABULON,0
2009,NAYARIT,ABULON,0
2009,NUEVO LEON,ABULON,0
2009,OAXACA,ABULON,0
2009,PUEBLA,ABULON,0
2009,QUERETARO,ABULON,0
2009,QUINTANA ROO,ABULON,0
2009,SAN LUIS POTOSI,ABULON,0
2009,SINALOA,ABULON,0
2009,SONORA,ABULON,0
2009,TABASCO,ABULON,0
2009,TAMAUUPAS,ABULON,0
2009,TLAXCALA,ABULON,0
2009,VERACRUZ,ABULON,0
2009,YUCATAN,ABULON,0
2009,ZACATECAS,ABULON,0
2010,AGUASCALENTES,ABULON,0
2010,BAJA CALIFORNIA SUR,ABULON,0
2010,CAMPECHE,ABULON,0
2010,CHIAPAS,ABULON,0
2010,CHIHUAHUA,ABULON,0
2010,COAHUILA,ABULON,0
2010,COLIMA,ABULON,0
2010,DURANGO,ABULON,0
2010,ESTADO DE MEXICO,ABULON,0
2010,GUANAJUATO,ABULON,0
2010,GUERRERO,ABULON,0
2010,HIDALGO,ABULON,0
2010,JALISCO,ABULON,0
2010,MICHOACAN,ABULON,0
2010,MORELOS,ABULON,0
2010,NAYARIT,ABULON,0
2010,NUEVO LEON,ABULON,0
2010,OAXACA,ABULON,0
2010,PUEBLA,ABULON,0
2010,QUERETARO,ABULON,0
2010,QUINTANA ROO,ABULON,0
2010,SAN LUIS POTOSI,ABULON,0
2010,SINALOA,ABULON,0
2010,SONORA,ABULON,0
2010,TABASCO,ABULON,0
2010,TAMAUUPAS,ABULON,0
2010,TLAXCALA,ABULON,0
2010,VERACRUZ,ABULON,0
2010,YUCATAN,ABULON,0
2010,ZACATECAS,ABULON,0
2011,AGUASCALENTES,ABULON,0
2011,CAMPECHE,ABULON,0
2011,CHIAPAS,ABULON,0
2011,CHIHUAHUA,ABULON,0
2011,COAHUILA,ABULON,0
2011,COLIMA,ABULON,0
2011,DURANGO,ABULON,0
2011,ESTADO DE MEXICO,ABULON,0
2011,GUANAJUATO,ABULON,0
2011,GUERRERO,ABULON,0
2011,HIDALGO,ABULON,0
2011,JALISCO,ABULON,0
2011,MICHOACAN,ABULON,0
2011,MORELOS,ABULON,0
2011,NAYARIT,ABULON,0
2011,NUEVO LEON,ABULON,0
2011,OAXACA,ABULON,0
2011,PUEBLA,ABULON,0
2011,QUERETARO,ABULON,0
2011,QUINTANA ROO,ABULON,0
2011,SAN LUIS POTOSI,ABULON,0
2011,SINALOA,ABULON,0
2011,SONORA,ABULON,0
2011,TABASCO,ABULON,0
2011,TAMAUUPAS,ABULON,0
2011,TLAXCALA,ABULON,0
2011,YUCATAN,ABULON,0
2011,ZACATECAS,ABULON,0
2012,AGUASCALENTES,ABULON,0
2012,BAJA CALIFORNIA SUR,ABULON,0
2012,CAMPECHE,ABULON,0
2012,CHIAPAS,ABULON,0
2012,CHIHUAHUA,ABULON,0
2012,COAHUILA,ABULON,0
2012,COLIMA,ABULON,0
2012,DF,ABULON,0
2012,DURANGO,ABULON,0
2012,GUANAJUATO,ABULON,0
2012,GUERRERO,ABULON,0
2012,HIDALGO,ABULON,0
2012,JALISCO,ABULON,0
2012,MICHOACAN,ABULON,0
2012,MORELOS,ABULON,0
2012,NAYARIT,ABULON,0
2012,NUEVO LEON,ABULON,0
2012,OAXACA,ABULON,0
2012,PUEBLA,ABULON,0
2012,QUERETARO,ABULON,0
2012,QUINTANA ROO,ABULON,0
2012,SAN LUIS POTOSI,ABULON,0
2012,SINALOA,ABULON,0
2012,SONORA,ABULON,0
2012,TABASCO,ABULON,0
2012,TAMAUUPAS,ABULON,0
2012,TLAXCALA,ABULON,0
2012,YUCATAN,ABULON,0
2012,ZACATECAS,ABULON,0
2013,AGUASCALENTES,ABULON,0
2013,BAJA CALIFORNIA SUR,ABULON,0
2013,CAMPECHE,ABULON,0
