Entidad_Federativa,Año,Vehiculos_Incautadas
Aguascalientes,2009,-0
Aguascalientes,2010,-0
Aguascalientes,2011,1
Aguascalientes,2012,-0
Aguascalientes,2013,-0
Baja California,2009,11
Baja California,2010,57
Baja California,2011,80
Baja California,2012,54
Baja California,2013,74
Baja California Sur,2009,51
Baja California Sur,2010,40
Baja California Sur,2011,48
Baja California Sur,2012,43
Baja California Sur,2013,90
Campeche,2009,15
Campeche,2010,22
Campeche,2011,54
Campeche,2012,40
Campeche,2013,51
Chiapas,2009,-0
Chiapas,2010,-0
Chiapas,2011,-0
Chiapas,2012,-0
Chiapas,2013,-0
Chihuahua,2009,-0
Chihuahua,2010,-0
Chihuahua,2011,-0
Chihuahua,2012,-0
Chihuahua,2013,-0
Coahuila,2009,-0
Coahuila,2010,-0
Coahuila,2011,-0
Coahuila,2012,3
Coahuila,2013,8
Colima,2009,-0
Colima,2010,-0
Colima,2011,-0
Colima,2012,-0
Colima,2013,-0
Distrito Federal,2009,-0
Distrito Federal,2010,-0
Distrito Federal,2011,-0
Distrito Federal,2012,-0
Distrito Federal,2013,1
Durango,2009,-0
Durango,2010,-0
Durango,2011,-0
Durango,2012,-0
Durango,2013,-0
Estado de México,2009,-0
Estado de México,2010,-0
Estado de México,2011,-0
Estado de México,2012,-0
Estado de México,2013,-0
Guanajuato,2009,-0
Guanajuato,2010,-0
Guanajuato,2011,-0
Guanajuato,2012,1
Guanajuato,2013,6
Guerrero,2009,3
Guerrero,2010,-0
Guerrero,2011,3
Guerrero,2012,-0
Guerrero,2013,2
Hidalgo,2009,-0
Hidalgo,2010,-0
Hidalgo,2011,-0
Hidalgo,2012,-0
Hidalgo,2013,-0
Jalisco,2009,-0
Jalisco,2010,3
Jalisco,2011,2
Jalisco,2012,10
Jalisco,2013,17
Michoacán,2009,-0
Michoacán,2010,4
Michoacán,2011,1
Michoacán,2012,20
Michoacán,2013,15
Morelos,2009,-0
Morelos,2010,-0
Morelos,2011,-0
Morelos,2012,-0
Morelos,2013,-0
Nayarit,2009,16
Nayarit,2010,46
Nayarit,2011,71
Nayarit,2012,56
Nayarit,2013,36
Nuevo León,2009,-0
Nuevo León,2010,-0
Nuevo León,2011,-0
Nuevo León,2012,-0
Nuevo León,2013,-0
Oaxaca,2009,2
Oaxaca,2010,7
Oaxaca,2011,26
Oaxaca,2012,8
Oaxaca,2013,13
Puebla,2009,-0
Puebla,2010,-0
Puebla,2011,-0
Puebla,2012,6
Puebla,2013,-0
Querétaro,2009,3
Querétaro,2010,-0
Querétaro,2011,-0
Querétaro,2012,-0
Querétaro,2013,1
Quintana Roo,2009,1
Quintana Roo,2010,2
Quintana Roo,2011,4
Quintana Roo,2012,5
Quintana Roo,2013,4
San Luis Potosí,2009,-0
San Luis Potosí,2010,1
San Luis Potosí,2011,10
San Luis Potosí,2012,7
San Luis Potosí,2013,-0
Sinaloa,2009,19
Sinaloa,2010,17
Sinaloa,2011,46
Sinaloa,2012,28
Sinaloa,2013,36
Sonora,2009,30
Sonora,2010,46
Sonora,2011,120
Sonora,2012,59
Sonora,2013,48
Tabasco,2009,6
Tabasco,2010,3
Tabasco,2011,9
Tabasco,2012,3
Tabasco,2013,-0
Tamaulipas,2009,1
Tamaulipas,2010,-0
Tamaulipas,2011,-0
Tamaulipas,2012,1
Tamaulipas,2013,1
Tlaxcala,2009,1
Tlaxcala,2010,-0
Tlaxcala,2011,-0
Tlaxcala,2012,1
Tlaxcala,2013,-0
Veracruz,2009,17
Veracruz,2010,14
Veracruz,2011,23
Veracruz,2012,21
Veracruz,2013,6
Yucatán,2009,2
Yucatán,2010,10
Yucatán,2011,100
Yucatán,2012,72
Yucatán,2013,67
Zacatecas,2009,-0
Zacatecas,2010,-0
Zacatecas,2011,-0
Zacatecas,2012,-0
Zacatecas,2013,-0
