Area_adscripcion|Apellido_materno|Apellido_materno|Nombre|Nombre_puesto_en_maestro
AGUASCALIENTES|GONZÁLEZ|RAHAL|CLAUDIA GABRIELA|OFICIAL DE PESCA
MICHOACAN|ESPINOZA |VILLEGAS|LUIS ALBERTO|OFICIAL DE PESCA
BAJA CALIFORNIA|GARCIA|HEREDIA|MIGUEL|OFICIAL DE PESCA
BAJA CALIFORNIA|CABALLERO|TERRAZAS|MARIA AMPARO DE DIOS|OFICIAL DE PESCA
BAJA CALIFORNIA|CORREA|MORENO|ROBERTO CARLOS|OFICIAL DE PESCA
BAJA CALIFORNIA|TIRADO|DOMÍNGUEZ|JESÚS AARÓN|OFICIAL DE PESCA
BAJA CALIFORNIA|RAMÍREZ|SÁNCHEZ|ARTURO|OFICIAL DE PESCA
BAJA CALIFORNIA|ROJAS|LOPEZ|CARLOS CESAR|OFICIAL DE PESCA
BAJA CALIFORNIA|REYES|JUÁREZ|LORELEY|OFICIAL DE PESCA
BAJA CALIFORNIA|ITURBIDE|MURO|FERNANDO|OFICIAL DE PESCA
BAJA CALIFORNIA|GARAY|ORTIZ|SAMUEL|OFICIAL DE PESCA
BAJA CALIFORNIA|PEÑUELAS|RIVERA|LUIS ANTONIO|OFICIAL DE PESCA
BAJA CALIFORNIA|MALDONADO|PONCE|ROLDAN|OFICIAL DE PESCA
BAJA CALIF. SUR|ALONSO|ZAZUETA|CARLOS JAVIER|OFICIAL DE PESCA
BAJA CALIF. SUR|QUINTANA |GARCIA|IRAN LORENZO|OFICIAL DE PESCA
BAJA CALIF. SUR|MARTINEZ|VAZQUEZ|VICTOR HUGO|OFICIAL DE PESCA
BAJA CALIF. SUR|YAÑEZ|LOPEZ|SAYL ALEJANDRO|OFICIAL DE PESCA
BAJA CALIF. SUR|ARELLANO|LOAEZA|JESUS MANUEL|OFICIAL DE PESCA
BAJA CALIF. SUR|DOMÍNGUEZ|ANGULO|LIZANDRO VIDAL|OFICIAL DE PESCA
BAJA CALIF. SUR|RAMÍREZ|DÍAZ|ANDRÉS|OFICIAL DE PESCA
BAJA CALIF. SUR|GUEVARA|LIZARRAGA|OMAR|OFICIAL DE PESCA
BAJA CALIF. SUR|ARANGURE |VARGAS|NESTOR FABIAN|OFICIAL DE PESCA
BAJA CALIF. SUR|ZEGER|PALMA|RICARDO|OFICIAL DE PESCA
BAJA CALIF. SUR|ZAPATA|ESTRADA|JOEL ENRIQUE|OFICIAL DE PESCA
