NO. TÍTULO,RNP,NOMBRE,MATRÍCULA,MARCA DE MOTOR,TON. NETAS,MOTOR HP
102063999117,02013555,RIB. DE SAN FELIPE I,0202073613-5,YAMAHA,0.840,115.00
102063999117,02013571,RIB. DE SAN FELIPE III,0202073813-3,YAMAHA,0.840,75.00
102063999117,02013670,RIB. DE SAN FELIPE XIII,0202074813-4,YAMAHA,0.840,75.00
102063999117,02013811,RIB. DE SAN FELIPE XXVII,0202039013-9,YAMAHA,0.840,80.00
126096029001,26041541,BRISA DEL SUR #  3,2603208013-2,YAMAHA,0.840,75.00
126096029001,26041525,BRISA DEL SUR # 1,2603207813-1,YAMAHA,0.840,75.00
126096029001,26041533,BRISA DEL SUR # 2,2603207913-9,YAMAHA,0.840,75.00
126096029001,26041558,BRISA DEL SUR # 4,2603208113-4,YAMAHA,0.840,75.00
126096029001,26041616,BRISA DEL SUR # 5,2603208213-5,YAMAHA,0.840,75.00
126096029001,26041574,BRISA DEL SUR # 6,2603208313-7,YAMAHA,0.840,75.00
1020308320381,02018711,ELBMAR II,0202089513-4,YAMAHA,0.840,100.00
1020308320381,02020535,LA JEFA,0202094613-3,YAMAHA,1.750,115.00
1020308320381,02011914,MARIA ISABEL,0202004313-7,YAMAHA,0.840,100.00
1020308320381,02011922,MARIA JOSE,0202019313-5,YAMAHA,0.840,75.00
1020308320381,02020725,MELODY I,0202096013-5,YAMAHA,0.840,115.00
1020308320381,02018729,MIRAMAR II,0202089413-1,YAMAHA,0.840,100.00
1020308320381,02012078,XENIA I,0202032913-3,YAMAHA,0.840,75.00
1261123710010,26003244,CARLO'S,2602620213-6,MERCURY,0.840,115.00
1261123710010,26005058,JAZMIN,2602332613-5,YAMAHA,0.840,115.00
1260473370659,26052555,MEMITO I,2602512013-6,YAMAHA,0.840,75.00
1260473370659,26111112,MEMITO V,2602157013-5,YAMAHA,0.840,75.00
1260473370659,26111120,MEMITO VI,2602157113-5,YAMAHA,0.840,75.00
1260473370659,26111088,WILIAM V,2602156713-8,YAMAHA,0.840,75.00
1260473370659,26111096,WILIAM VI,2602156813-0,YAMAHA,0.840,75.00
1260471751553,26111138,MEMITO VII,2602156613-2,YAMAHA,0.840,75.00
1260471751553,26041829,WILLIAM I,2602152213-6,YAMAHA,0.840,75.00
1260471751553,26041837,WILLIAM II,2602152313-5,YAMAHA,0.840,75.00
1260471751553,26041845,WILLIAM III,2602152413-3,YAMAHA,0.840,75.00
125072175161,25021833,LAKIO,2501582413-9,HONDA,0.840,90.00
125072175161,25021841,SCPPEAF I,2501050313-6,YAMAHA,0.840,75.00
125072175161,25021858,SCPPEAF II,2501050413-7,YAMAHA,0.840,75.00
125072175161,25021882,SCPPEAF X,2501051213-4,YAMAHA,0.840,75.00
125072175161,25021890,SCPPEAF XI,2501051313-1,YAMAHA,0.840,60.00
125072175161,25021916,SCPPEAF XIX,2501582213-3,YAMAHA,0.840,75.00
125072175161,25021825,SCPPEAF XVII,2501581913-9,YAMAHA,0.840,100.00
125072175161,25021957,SCPPEAF XVIII,2501582113-1,HONDA,0.840,75.00
125072175161,25021932,SCPPEAF XX,2501582313-3,YAMAHA,0.840,75.00
125072175161,25021940,TIJMAAR,2501582513-2,HONDA,0.840,75.00
125098994118,25200890,LA SAMARITANA,2502646010-3,A REMO,0.330,0.00
102030167133,02035244,PAC-MAN,02014329138,SUZUKI,0.840,60.00
330015994922-1,30142574,LA ENVIDIA,3002938313-4,YAMAHA,0.840,60.00
330015994922-1,30142582,LA SUERTUDA,3002938413-9,YAMAHA,0.840,60.00
102071999069,02022267,MARELBA I,0202098613-1,YAMAHA,1.750,100.00
102071999067,02022317,MARELBA IX,0202099013-8,SUZUKI,0.840,115.00
102071999066,02022390,MARELBA XXVI,0202099813-6,YAMAHA,0.840,100.00
102071999073,02022366,MARELBA XVI,0202099513-3,YAMAHA,1.750,115.00
102071999063,02014041,MARELBA XXIII,0202077913-1,YAMAHA,0.840,100.00
102071999065,02014058,MARELBA XXIV,0202078013-4,YAMAHA,0.840,115.00
102071999064,02022382,MARELBA XXV,0202099713-8,YAMAHA,1.750,115.00
102071999071,02022333,MARELBA XII,0202099213-2,YAMAHA,0.840,115.00
102071999068,02022408,CHANATITA,0202098513-4,YAMAHA,1.750,115.00
102071999070,02022309,MARELBA VII,0202098913-6,YAMAHA,1.750,100.00
102071999072,02022358,MARELBA XV,0202099413-9,YAMAHA,1.750,115.00
102071999062,02022374,MARELBA XXI,0202099613-9,YAMAHA,0.840,115.00
102071999074,02022341,MARELBA XIV,0202099313-4,YAMAHA,1.750,115.00
1020301750323,02030229,PAULINA I,02014400135,SUZUKI,0.840,115.00
1020301750166,02030385,YESENIA GUADALUPE,02014426131,SUZUKI,0.840,100.00
1020301750161,02030351,LA PALOMA,02014424136,YAMAHA,0.840,75.00
1020301750203,02030336,NORMA,02014409132,YAMAHA,0.840,115.00
1020301750154,02030310,JOSELY,02014406137,YAMAHA,0.840,115.00
1020301750184,02030278,YOLANDA,02014402138,SUZUKI,1.750,115.00
1020301750162,02030211,YOLANDA III,02014401137,SUZUKI,0.840,115.00
1020301750167,02030286,YOLANDA II,02014404137,YAMAHA,0.840,115.00
1020301750205,02030328,LIZETH ELIZABETH,02014408133,YAMAHA,0.840,115.00
1020301750169,02030237,ROSALINA II,02014397135,YAMAHA,1.750,115.00
1020301750139,02030393,ROSALINA III,02014411138,YAMAHA,0.840,115.00
1020301750192,02030377,ROSALINA I,02014417136,SUZUKI,0.840,115.00
1020301750190,02030419,KEYO,02014413137,YAMAHA,0.840,115.00
1020301750198,02030245,MELANIE,02014398137,YAMAHA,0.840,100.00
1020301750195,02030260,GABRIELA R,02014425134,YAMAHA,0.840,75.00
1020301750142,02030302,GABYS,02014407135,YAMAHA,0.840,115.00
1020301750163,02030344,CLAUDIA EDITH,02014410137,YAMAHA,0.840,115.00
1020301750181,02030401,CHELITA III,02014403132,YAMAHA,0.840,115.00
1020301750187,02030369,CHELITA IV,02014416136,YAMAHA,0.840,115.00
1020301750178,02030294,CHINA,02014405131,YAMAHA,0.840,115.00
1020301750152,02030252,CHELITA II,02014399136,SUZUKI,0.840,115.00
1020301750201,02030203,CHELITA I,02014396136,SUZUKI,0.840,115.00
1020301750172,02030443,ANGELITA,02014414138,YAMAHA,0.840,115.00
1020309520084,02034064,VIERA  12,02014235134,YAMAHA,0.840,75.00
1020309520084,02034072,VIERA 13,02014236137,YAMAHA,0.840,75.00
1020309520084,02034080,VIERA 14,02014237133,YAMAHA,0.840,75.00
1020300300145,02003598,VIERA 01,0201083313-5,YAMAHA,0.840,75.00
1020300300145,02003606,VIERA 02,0201083413-3,YAMAHA,0.840,75.00
1020300300145,02003614,VIERA 03,0201083513-5,YAMAHA,0.840,60.00
1020300300145,02003630,VIERA 05,0201083713-1,YAMAHA,0.350,60.00
1020300300145,02003655,VIERA 07,0201083913-2,YAMAHA,0.840,60.00
230064993150,30124861,CHERNA 1,3001736713-3,YAMAHA,0.840,75.00
230064993150,30100481,SUSAN,3001728313-4,YAMAHA,0.840,60.00
230064993150,30032866,SUSI,3001706413-8,YAMAHA,0.840,60.00
1020301750147,02030468,DIANA I,02014429135,YAMAHA,0.840,75.00
1020301750200,02030476,DIANA II,02014430132,YAMAHA,0.840,75.00
1020309930905-2,02030468,DIANA I,02014429135,YAMAHA,0.840,75.00
1020309930905-2,02030476,DIANA II,02014430132,YAMAHA,0.840,75.00
125064557004,25260498,REFUGIO 1,2502141313-1,YAMAHA,0.840,75.00
125064557004,25260506,REFUGIO 2,2502141413-6,YAMAHA,0.840,115.00
125064557004,25260514,REFUGIO 3,2502141513-1,JOHNSON,0.840,105.00
125015557007,25019506,TASPANA 1,2502529013-6,YAMAHA,0.840,50.00
125015557007,25019514,TASPANA 2,2502529113-2,YAMAHA,0.840,60.00
125015557007,25019522,TASPANA 3,2502529213-9,YAMAHA,0.840,50.00
1020300300150,02029957,ZUAREV XII,0201406213-4,YAMAHA,0.840,75.00
1020300300150,02029965,ZUAREV XIII,0201406313-1,YAMAHA,0.840,75.00
1020300300150,02029973,ZUAREV XIV,0201406413-7,YAMAHA,0.840,75.00
1020300300150,02029981,ZUAREV XV,0201406513-0,SUZUKI,0.840,70.00
1260391752459,26040105,NENFASIS V,2601295713-9,YAMAHA,0.840,115.00
1260399930372,26078089,RIO COLORADO XXXIV,2601102713-9,YAMAHA,0.840,115.00
1260391752423,26041681,PESQUERA GALLARDO I,2601086313-2,YAMAHA,1.750,115.00
1260391751163,26041689,PESQUERA GALLARDO II,2601022413-1,YAMAHA,0.840,115.00
1260391750020,26007690,PERLA 4,2601168913-6,YAMAHA,0.840,115.00
126096998154,26050484,LOMA PARDA # 9,2603231713-8,YAMAHA,0.840,75.00
126096998154,26050492,LOMA PARDA #10,2603231813-3,YAMAHA,0.840,75.00
126096998154,26098970,LOMA PARDA #11,2603347813-6,YAMAHA,0.840,75.00
126096998154,26099002,LOMA PARDA #12,2603347913-6,YAMAHA,0.840,75.00
126021998059,26038938,COCHI I,26033554133,YAMAHA,0.840,75.00
126021998059,26038946,COCHI II,26033555134,YAMAHA,0.840,75.00
126021998059,26047860,COSTAL,2603258613-7,YAMAHA,0.840,48.00
126021998059,26047894,ELLE,2603258913-3,YAMAHA,0.840,48.00
126021998059,26047802,PEDRADA,2603259013-5,YAMAHA,0.840,48.00
228035994004,28043677,LA CALANDRIA,28031231133,A REMO,0.280,0.00
228035994004,28043719,LA CHACHALACA,28031232135,A REMO,0.280,0.00
228035994004,28043701,LA COTORRA,28031235134,A REMO,0.280,0.00
228035994004,28043685,LA GUACAMAYA,28031234132,A REMO,0.280,0.00
228035994004,28043693,LA TEJONA,28031233135,A REMO,0.280,0.00
1260391752220,26119909,YETLANEZY,2601211913-7,YAMAHA,1.750,115.00
1260391752218,26079129,PESQUERA GALLARDO III,2601173213-5,YAMAHA,0.840,115.00
126039999410,26120972,PERLA 3,2601230113-8,SUZUKI,0.840,115.00
1260399930624,26120972,PERLA 3,2601230113-8,SUZUKI,0.840,115.00
1260391750893,26120972,PERLA 3,2601230113-8,SUZUKI,0.840,115.00
102063999115,02015410,CRAZY BULL,0202132113-9,YAMAHA,1.750,115.00
102063999115,02022283,MARELBA III,0202100013-8,YAMAHA,0.840,115.00
102063999116,02020576,MARISA,0202095213-2,YAMAHA,0.840,100.00
102063999116,02011971,MELODY II,0202032513-2,YAMAHA,0.840,100.00
102063999116,02020584,SUGEY,0202094713-3,YAMAHA,0.840,115.00
103053993-103,03038601,JEFE POLONI I,03043516139,MERCURY,0.840,115.00
12510617587,25029976,F.J.#01,2504089713-6,YAMAHA,0.840,25.00
12510617587,25038886,F.J.#02,2504089813-8,YAMAHA,0.840,25.00
12510617587,25029992,F.J.#03,2504089913-8,SUZUKI,0.840,30.00
12510617587,25030008,F.J.#04,2504090013-3,YAMAHA,0.840,15.00
12510617587,25030016,F.J.#05,2504090113-1,YAMAHA,0.840,40.00
12510617587,25038829,F.J.#06,2504090213-3,YAMAHA,0.840,40.00
12510617587,25038811,F.J.#07,2504090313-3,YAMAHA,0.840,40.00
12510617587,25030040,F.J.#08,2504090413-9,YAMAHA,0.840,25.00
12510617587,25038803,F.J.#09,2504090513-2,YAMAHA,0.840,25.00
12510617587,25038878,F.J.#10,2504090613-1,YAMAHA,0.840,25.00
12510617587,25030073,F.J.#11,2504090713-7,YAMAHA,0.840,40.00
12510617587,25030081,F.J.#12,2504090813-8,JOHNSON,0.840,25.00
125072167089,25122482,GREGORIO DEL MAR I,25018830131,YAMAHA,0.840,75.00
125072167089,25122490,GREGORIO DEL MAR II,25018831132,YAMAHA,0.840,75.00
103053024004,03022704,AMY LEIDI I,0304219913-6,SUZUKI,0.840,115.00
103053024004,03022712,AMY LEIDI II,0304220013-7,SUZUKI,0.840,90.00
3260215010079-1,26041194,TRAVIESO # 1,26033618131,MERCURY,0.840,60.00
3260215010079-1,26041218,TRAVIESO # 2,26033619139,MERCURY,0.840,25.00
3260215010079-1,26041226,TRAVIESO # 3,26033620133,MERCURY,0.840,25.00
3260215010079-1,26041234,TRAVIESO # 4,26033621135,MERCURY,0.840,25.00
3260215010079-1,26041242,TRAVIESO # 5,26033622135,MERCURY,0.840,25.00
3260215010079-1,26041250,TRAVIESO # 6,26033623128,MERCURY,0.840,25.00
3260215010079-1,26041258,TRAVIESO # 7,26033624134,MERCURY,0.840,25.00
3260215010079-1,26041266,TRAVIESO # 8,26033625137,MERCURY,0.840,15.00
3260215010079-1,26041274,TRAVIESO # 9,26033626134,MERCURY,0.840,15.00
3260215010079-1,26041282,TRAVIESO #10,26033627132,MERCURY,0.840,15.00
3260215010079,26044867,UNIDOS 01,26032387139,MERCURY,0.840,25.00
3260215010079,26044875,UNIDOS 02,26032388133,MERCURY,0.840,25.00
3260215010079,26044883,UNIDOS 03,2603238913-3,MERCURY,0.840,25.00
3260215010079,26044991,UNIDOS 06,2603239013-6,MERCURY,0.840,25.00
3260215010079,26044909,UNIDOS 07,26032391132,YAMAHA,0.840,25.00
3260215010079,26044917,UNIDOS 08,26032392139,MERCURY,0.840,25.00
3260215010079,26044925,UNIDOS 09,2603239313-3,YAMAHA,0.840,25.00
3260215010079,26044933,UNIDOS 11,26032394131,YAMAHA,0.840,50.00
3260215010079,26044941,UNIDOS 12,26032395132,YAMAHA,0.840,25.00
3260215010079,26044958,UNIDOS 13,26032396137,YAMAHA,0.840,25.00
3260215010079,26044966,UNIDOS 14,26032397138,YAMAHA,0.840,25.00
125064557003,25038498,TUNKO 1,2502116813-4,YAMAHA,0.840,75.00
125064557003,25038506,TUNKO 2,2502116913-3,YAMAHA,0.840,85.00
125064557003,25094319,TUNKO 3,2502117013-3,YAMAHA,0.840,85.00
102030025061,02027597,MIRUGAY I,0201344113-7,YAMAHA,0.840,60.00
102030025061,02027605,MIRUGAY II,0201344213-5,YAMAHA,0.840,60.00
102030025061,02027613,MIRUGAY III,0201344313-8,YAMAHA,0.840,60.00
102030025061,02027621,MIRUGAY IV,0201344413-6,YAMAHA,0.840,60.00
125064557005,25034778,AGUA DULCE 1,2502528313-4,YAMAHA,0.840,60.00
125064557005,25036484,AGUA DULCE 2,2502528413-2,YAMAHA,0.840,75.00
125064557005,25036468,AGUA DULCE 3,2502528513-3,YAMAHA,0.840,75.00
125064557006,25261553,BAJA MAR 1,2502547213-7,YAMAHA,0.840,115.00
125064557006,25261561,BAJA MAR 2,2502547313-4,YAMAHA,0.840,115.00
125064557006,25261579,BAJA MAR 3,2502547413-6,YAMAHA,0.840,115.00
125064559011,25260670,PESCADORES DE LA REFORMA 09,2502686413-8,JOHNSON,0.840,65.00
125064559011,25260688,PESCADORES DE LA REFORMA 10,2502686513-6,YAMAHA,0.840,75.00
125064559011,25060696,PESCADORES DE LA REFORMA 11,2502686613-3,YAMAHA,0.840,75.00
125064557002,25260118,PUNTA DE CHUNARI 4,2502525413-4,YAMAHA,0.840,75.00
125064557002,25260126,PUNTA DE CHUNARI 5,2502525513-2,YAMAHA,0.840,85.00
125064557002,25260134,PUNTA DE CHUNARI 6,2502525613-7,YAMAHA,0.840,85.00
125064557001,25087321,ASAEL 1,2502298013-7,YAMAHA,0.840,115.00
125064557001,25087339,ASAEL 2,2502298113-9,YAMAHA,0.840,115.00
125064557001,25087347,ASAEL 3,2502298213-1,JOHNSON,0.840,105.00
103129029131,03034436,ACACIA V,0302359713-9,EVINRUDE,0.840,65.00
103129029131,03034444,ACACIA VI,0302359813-3,EVINRUDE,0.840,105.00
