AÑO,ESTADO,MUNICIPIO,LOCALIDAD,RNP_TITULAR,RAZÓN SOCIAL,ZONA_OPERACION,RNP_EMBARCACION,EMBARCACIÓN,MATRÍCULA,PESQUERÍA,PERMISO,FECHA_INICIO,FECHA_TERMINO
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.","AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO, EN NINGÚN CASO PODRÁN OPERAR AL NORTE DEL PARALELO DE LOS 31° DE L.N. DEL GOLFO DE CALIFORNIA.",46052,CENTAURO DEL NORTE,2503030823-8,ESCAMA MARINA,1020309930376,2012-12-12,2014-12-11
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,15867,EL GLADIADOR,0201399023-0,TIBURON,1020308320201,2012-12-12,2015-04-30
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,15867,EL GLADIADOR,0201399023-0,PEZ ESPADA,10203071621,2012-12-12,2014-12-11
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO ADYACENTES A LA COSTA OCCIDENTAL DE LA PENINSULA DEL ESTADO DE BAJA CALIFORNIA.,46052,CENTAURO DEL NORTE,0201399123-7,CALAMAR GIGANTE,102030167043,2012-12-12,2014-12-11
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO ADYACENTES A LA COSTA OCCIDENTAL DE LA PENINSULA DE BAJA CALIFORNIA.,15867,EL GLADIADOR,0201399023-0,CALAMAR GIGANTE,102030167044,2012-12-12,2014-12-11
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO EN NINGÚN CASO PODRÁN OPERAR AL NORTE DEL PARALELO DE LOS 31° DE L.N. DENTRO DEL GOLFO DE CALIFORNIA.,15867,EL GLADIADOR,0201399023-0,ESCAMA MARINA,1020309930375,2012-12-12,2014-12-11
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,15867,EL GLADIADOR,0201399023-0,CANGREJO,1020301940139,2012-12-12,2014-12-11
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203015953,"CORPORACIÓN DE ATUNEROS DE ENSENADA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,46052,CENTAURO DEL NORTE,0201399123-7,PEZ ESPADA,10203071625,2012-12-12,2014-12-11
2012,SINALOA,MAZATLÁN,MAZATLAN,203012471,ATUNEROS UNIDOS DE CALIFORNIA S.A DE C.V.,"AGUAS DE JURISDICCIÓN NACIONAL E INTERNACIONAL DEL OCEANO PACIFICO, ASI COMO LA CAPTURA DE TUNIDOS EN LA ZONA ECONOMICA EXCLUSIVA O DE CONSERVACION PESQUERA DE OTROS PAISES SIEMPRE Y CUANDO LA EMPRESA OBTENGA CONCESIÓN, PERMISO O AUTORIZACION O CUALQUIER OTRO ACTO JURIDICO SIMILAR POR PARTE DEL GOBIERNO O PAIS DE QUE SE TRATE.",41517,ADRIANA M,25032004336,"BARRILETE, ATÚN A. AMARILLA, ATUN PATUDO",125080997114,2012-12-11,2014-12-10
2012,SINALOA,AHOME,TOPOLOBAMPO,2511000099,"S.C.P.P. PESCADORES DEL FARALLON, S.C.L.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,19174,COOPERATIVA FARALLON II,2501052523-5,CAMARON DE ALTAMAR,12511012300,2012-12-11,2016-12-10
2012,SINALOA,AHOME,TOPOLOBAMPO,2511000099,"S.C.P.P. PESCADORES DEL FARALLON, S.C.L.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,19190,COOPERATIVA FARALLON IV,2501052723-2,CAMARON DE ALTAMAR,12511012302,2012-12-11,2016-12-10
2012,COLIMA,MANZANILLO,MANZANILLO,601002124,"MARATÚN, S.A. DE C.V.","AGUAS DE JURISDICCIÓN NACIONAL E INTERNACIONAL DEL OCÉANO PACIFICO, ASI COMO LA CAPTURA DE TUNIDOS EN LA ZONA ECONOMICA EXCLUSIVA O DE CONSERVACIÓN PESQUERA DE OTROS PAISES SIEMPRE Y CUANDO LA EMPRESA OBTENGA CONCESIÓN, PERMISO O AUTORIZACIÓN O CUALQUIER OTRO ACTO JURIDICO SIMILIAR POR PARTE DEL GOBIERNO O PAIS DE QUE SE TRATE.",46482,MARIA DELIA,0601164733-3,TUNIDOS,102030993126,2012-12-10,2016-12-09
2012,SONORA,HUATABAMPO,HUATABAMPO,2609002015,ADRIAN ALBERTO ELLIS ESPINOZA,AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,19869,ADRIAN IV,2602021423-1,CAMARON DE ALTAMAR,12604011198,2012-12-07,2014-12-06
2012,SINALOA,MAZATLÁN,,601001993,"NAVIERA DE OCCIDENTE, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,54361,ACUITZIO,0601002523-6,TIBURON,1020683299,2012-12-07,2016-04-30
2012,SINALOA,MAZATLÁN,MAZATLÁN,2511001790,"S.C.P.P. SUCETT, S.R.L. DE C.V.                                         ",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,56325,SUCETT I,2503202123-7,CALAMAR GIGANTE,125080167138,2012-12-07,2014-12-06
2012,SINALOA,MAZATLÁN,MAZATLÁN,2511001790,"S.C.P.P. SUCETT, S.R.L. DE C.V.                                         ",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,55699,EL PANZAS,2501560623-3,CALAMAR GIGANTE,125080167139,2012-12-07,2014-12-06
2012,SINALOA,MAZATLÁN,MAZATLÁN,2511001790,"S.C.P.P. SUCETT, S.R.L. DE C.V.                                         ",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,55731,BENITO GARCIA,2501579323-3,CALAMAR GIGANTE,125080167140,2012-12-07,2014-12-06
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203013818,PEDRO CERVANTES VAZQUEZ,AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO ADYACENTES AL ESTADO DE BAJA CALIFORNIA.,47340,MONTANA,0201233510-7,CALAMAR GIGANTE,102030167063,2012-12-06,2014-12-05
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508011182,"PESCA INTEGRA DE ALTA MAR, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,16014,MARIANO PEREZ II,2503073123-9,CAMARON DE ALTAMAR,12508010501,2012-12-03,2016-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508011182,"PESCA INTEGRA DE ALTA MAR, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,17467,MARIANO PEREZ III,2503069923-9,CAMARON DE ALTAMAR,12508013605,2012-12-03,2012-12-03
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508011182,"PESCA INTEGRA DE ALTA MAR, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,17467,MARIANO PEREZ III,2503069923-9,CALAMAR GIGANTE,125080167134,2012-12-03,2014-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508011182,"PESCA INTEGRA DE ALTA MAR, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,11668,SEBASTIAN III,2503203123-7,CALAMAR GIGANTE,125080167133,2012-12-03,2014-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508011182,"PESCA INTEGRA DE ALTA MAR, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL OCEANO PACIFICO.,34777,SEBASTIAN I,2503062323-6,CALAMAR GIGANTE,125080167135,2012-12-03,2014-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508006869,PESQUERA ATILA SA DE CV,AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,18507,MARIANO,2503064223-5,CALAMAR GIGANTE,125080167130,2012-12-03,2014-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009053,"PESQUERA AXEL'S, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,13839,DON ANTONIO PEREZ II,2503049923-8,TIBURON,126070832023B,2012-12-03,2014-04-30
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009053,"PESQUERA AXEL'S, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,39412,ISLA DE VENADOS III,2503002023-8,CAMARON DE ALTAMAR,10705013706,2012-12-03,2016-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009053,"PESQUERA AXEL'S, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,42622,DON ANTONIO PEREZ XII,2503076123-1,CALAMAR GIGANTE,125080167131,2012-12-03,2014-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009053,"PESQUERA AXEL'S, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,17392,DON ANTONIO PEREZ VII,2503040823-4,CALAMAR GIGANTE,125080167132,2012-12-03,2014-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009053,"PESQUERA AXEL'S, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,54601,DON ANTONIO PEREZ XV,2503004723-5,CALAMAR GIGANTE,125080167136,2012-12-03,2014-12-02
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009053,"PESQUERA AXEL'S, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,39206,DON ANTONIO PEREZ III,2503105423-0,CALAMAR GIGANTE,125080167137,2012-12-03,2014-12-02
2012,CAMPECHE,CAMPECHE,LERMA DE CAMPECHE,401002860,FRANCISCO ELÍAS ROMELLÓN HERRERA,AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL GOLFO DE MÉXICO Y MAR CARIBE.,42242,DON FRANCISCO R-I,0402128123-6,CAMARON DE ALTAMAR,20401013150,2012-11-30,2016-11-28
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508010887,"PESQUERA FÁTIMA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,54392,FRANCISCO ALEJANDRO,2503180123-5,ESCAMA,12508099399,2012-11-30,2016-11-29
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,2508003940,"COMPAÑIA PESQUERA SAN BENEDICTO, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,47308,LIZZY,0601127233-9,TUNIDOS,102030997095,2012-11-29,2014-11-28
2012,SINALOA,AHOME,LOS MOCHIS,2507003958,"LAURAS SHRIMP, S.A. DE C.V.","AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO,",24315,LOBOS X,2501216523-9,ESCAMA MARINA,125114993126,2012-11-29,2014-11-28
2012,SINALOA,AHOME,LOS MOCHIS,2507003958,"LAURAS SHRIMP, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,24380,SOFIA,2501216323-0,ESCAMA MARINA,125114993124,2012-11-29,2014-11-28
2012,SINALOA,AHOME,LOS MOCHIS,2507003958,"LAURAS SHRIMP, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,37895,CHAPO SOLANO,2501705423-5,ESCAMA MARINA,12511499313,2012-11-29,2014-11-28
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508005648,"PESQUERIA 15 DE SEPTIEMBRE, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,17335,CHAPO,2503043223-6,ESCAMA MARINA,10705499350,2012-11-29,2014-11-28
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508005648,"PESQUERIA 15 DE SEPTIEMBRE, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,17327,JOE,2503044823-4,ESCAMA MARINA,125080993167,2012-11-29,2014-11-28
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508005648,"PESQUERIA 15 DE SEPTIEMBRE, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,10918,MARIA B. LOPEZ,2503045023-6,ESCAMA MARINA,125080993120,2012-11-29,2014-11-28
2012,YUCATAN,PROGRESO,PROGRESO,3105005106,ALFONSO HUBERTO ZABALETA LAVIADA,AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL GOLFO DE MÉXICO.,74427,MAGURO,3101210023-3,TUNIDOS,23104799707,2012-11-28,2014-11-27
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,2508003940,"COMPAÑIA PESQUERA SAN BENEDICTO, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,47308,LIZZY,0601127233-9,MERLUZA,1020304861,2012-11-28,2014-11-27
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203005814,"MAR DE LA CORINA, S.A. DE C.V.",LITORAL DE LA COSTA OCCIDENTAL DEL ESTADO DE BAJA CALIFORNIA.,37234,CORINA DEL MAR,0201119933-8,ESCAMA MARINA,10203039930372,2012-11-28,2016-11-27
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508005366,"OPERADORA MARÍTIMA DEL PACÍFICO, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,26609,MAIKE,25032791237,ESCAMA MARINA,126070993132,2012-11-28,2014-11-27
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009905,"PESCA Y COMERCIALIZADORA DEL PACIFICO, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO,43836,XEL-HA,0202044323-2,ESCAMA,1020309930348,2012-11-28,2016-11-27
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508006778,"PESQUERA JUSAJELI, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO.,40881,DON AGUSTIN VIII,2503059121-2,CALAMAR GIGANTE,125080167129,2012-11-28,2014-11-27
