Año Solicitud,Entidad,Permisos,Concesiones
2014,Baja California,320,7
2014,Baja California Sur,102,1
2014,Campeche,26,
2014,Chiapas,7,
2014,Colima,18,
2014,Guerrero,11,
2014,Hidalgo,1,
2014,Jalisco,7,
2014,Michoacan ,4,
2014,Morelos,,
2014,Nayarit,24,
2014,Oaxaca,27,
2014,Puebla,1,
2014,Quintana Roo,2,
2014,Sinaloa,85,
2014,Sonora,287,
2014,Tabasco,8,
2014,Tamaulipas,52,
2014,Veracruz,27,
2014,Yucatan,7,
2015,Baja California,379,1
2015,Baja California Sur,100,
2015,Campeche,36,
2015,Chiapas,6,4
2015,Colima,7,
2015,Guerrero,27,
2015,Hidalgo,1,
2015,Jalisco,11,
2015,Michoacan ,,
2015,Morelos,2,
2015,Nayarit,56,
2015,Oaxaca,31,
2015,Puebla,2,
2015,Quintana Roo,5,2
2015,Sinaloa,449,17
2015,Sonora,374,
2015,Tabasco,6,
2015,Tamaulipas,58,
2015,Veracruz,33,1
2015,Yucatan,5,
