Año,Estado,Solicitudes_Recibidas,Activos_con_Consumos
2014,BAJA CALIFORNIA,65,55
2014,BAJA CALIFORNIA SUR,13,13
2014,CAMPECHE,99,94
2014,CHIAPAS,1,1
2014,COLIMA,21,19
2014,JALISCO,0,0
2014,NAYARIT,10,9
2014,OAXACA,31,30
2014,QUINTANA ROO,35,33
2014,SINALOA,766,750
2014,SONORA,351,339
2014,TABASCO,23,23
2014,TAMAULIPAS,180,179
2014,VERACRUZ,58,55
2014,YUCATÁN,409,336
2015,BAJA CALIFORNIA,74,66
2015,BAJA CALIFORNIA SUR,13,13
2015,CAMPECHE,98,95
2015,CHIAPAS,3,3
2015,COLIMA,22,20
2015,NAYARIT,10,7
2015,OAXACA,31,31
2015,QUINTANA ROO,34,34
2015,SINALOA,804,789
2015,SONORA,364,349
2015,TABASCO,22,22
2015,TAMAULIPAS,182,181
2015,VERACRUZ,53,52
2015,YUCATÁN,385,352
