Año,Estado,Municipio,Localidad,Recibidas,Apoyadas,Monto
2015,BAJA CALIFORNIA,ENSENADA,ENSENADA,25,7,3.27
2015,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,2,0,0
2015,CAMPECHE,CAMPECHE,CAMPECHE,22,4,8.57
2015,NAYARIT,TEPIC,TEPIC,1,1,0.38
2015,OAXACA,SALINA CRUZ,SALINA CRUZ,2,1,0.4
2015,QUINTANA ROO,BENITO JUÁREZ,CANCÚN,1,0,0
2015,SINALOA,MAZATLAN,MAZATLAN,65,40,74.59
2015,SINALOA,GUASAVE,GUASAVE,1,1,2.13
2015,SINALOA,AHOME,TOPOLOBAMPO,18,7,6.67
2015,SONORA,GUAYMAS,GUAYMAS,66,31,59.21
2015,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,55,20,38.59
2015,SONORA,CIUDAD OBREGON,CIUDAD OBREGON,4,2,2
2015,TABASCO,VILLA HERMOSA,VILLA HERMOSA,9,9,5.72
2015,TAMAULIPAS,TAMPICO,TAMPICO,37,18,22.68
2015,VERACRUZ,VERACRUZ,VERACRUZ,19,4,2.95
2015,YUCATAN,MERIDA,MERIDA,44,22,28.54
2014,BAJA CALIFORNIA,ENSENADA,ENSENADA,16,15,8.12
2014,BAJA CALIFORNIA,SAN FELIPE,SAN FELIPE,2,1,1.09
2014,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,,,
2014,CAMPECHE,CAMPECHE,CAMPECHE,18,18,7.14
2014,CAMPECHE,EL CARMEN,EL CARMEN,2,1,0.18
2014,COLIMA,MANZANILLO,MANZANILLO,1,1,0.38
2014,NAYARIT,TEPIC,TEPIC,,,
2014,OAXACA,SALINA CRUZ,SALINA CRUZ,8,7,3.51
2014,QUINTANA ROO,BENITO JUÁREZ,CANCÚN,1,1,0.77
2014,SINALOA,MAZATLAN,MAZATLAN,80,76,102.77
2014,SINALOA,GUASAVE,GUASAVE,1,1,1
2014,SINALOA,AHOME,TOPOLOBAMPO,24,20,17.74
2014,SONORA,GUAYMAS,GUAYMAS,76,51,78.17
2014,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,51,50,77.5
2014,SONORA,HUATABAMPO,HUATABAMPO,5,4,4.75
2014,TABASCO,VILLA HERMOSA,VILLA HERMOSA,0,,
2014,TAMAULIPAS,TAMPICO,TAMPICO,31,30,29.09
2014,VERACRUZ,ALVARADO,ALVARADO,13,13,10.76
2014,VERACRUZ,TUXPAN,TUXPAN,4,4,11.38
2014,VERACRUZ,VERACRUZ,VERACRUZ,2,,
2014,YUCATAN,PROGRESO,PROGRESO,40,15,13.53
