Area_Adscripcion,Año,Numero_oficiales
AGUASCALIENTES,2009,1
AGUASCALIENTES,2010,1
AGUASCALIENTES,2011,1
AGUASCALIENTES,2012,1
AGUASCALIENTES,2013,1
BAJA CALIFORNIA,2009,7
BAJA CALIFORNIA,2010,9
BAJA CALIFORNIA,2011,10
BAJA CALIFORNIA,2012,9
BAJA CALIFORNIA,2013,9
BAJA CALIFORNIA SUR,2009,11
BAJA CALIFORNIA SUR,2010,11
BAJA CALIFORNIA SUR,2011,12
BAJA CALIFORNIA SUR,2012,13
BAJA CALIFORNIA SUR,2013,15
CAMPECHE,2009,10
CAMPECHE,2010,8
CAMPECHE,2011,7
CAMPECHE,2012,8
CAMPECHE,2013,8
CHIAPAS,2009,7
CHIAPAS,2010,7
CHIAPAS,2011,6
CHIAPAS,2012,6
CHIAPAS,2013,5
CHIHUAHUA,2009,2
CHIHUAHUA,2010,2
CHIHUAHUA,2011,2
CHIHUAHUA,2012,2
CHIHUAHUA,2013,2
COAHUILA,2009,2
COAHUILA,2010,2
COAHUILA,2011,2
COAHUILA,2012,1
COAHUILA,2013,1
COLIMA,2009,5
COLIMA,2010,5
COLIMA,2011,5
COLIMA,2012,5
COLIMA,2013,5
DISTRITO FEDERAL,2009,4
DISTRITO FEDERAL,2010,5
DISTRITO FEDERAL,2011,5
DISTRITO FEDERAL,2012,5
DISTRITO FEDERAL,2013,5
DURANGO,2009,1
DURANGO,2010,1
DURANGO,2011,1
DURANGO,2012,1
DURANGO,2013,
EDO. DE MEXICO,2009,2
EDO. DE MEXICO,2010,2
EDO. DE MEXICO,2011,2
EDO. DE MEXICO,2012,2
EDO. DE MEXICO,2013,2
GUANAJUATO,2009,2
GUANAJUATO,2010,2
GUANAJUATO,2011,2
GUANAJUATO,2012,2
GUANAJUATO,2013,2
GUERRERO,2009,6
GUERRERO,2010,5
GUERRERO,2011,4
GUERRERO,2012,4
GUERRERO,2013,4
HIDALGO,2009,2
HIDALGO,2010,1
HIDALGO,2011,2
HIDALGO,2012,2
HIDALGO,2013,2
JALISCO,2009,9
JALISCO,2010,9
JALISCO,2011,9
JALISCO,2012,10
JALISCO,2013,10
MICHOACAN,2009,4
MICHOACAN,2010,4
MICHOACAN,2011,5
MICHOACAN,2012,5
MICHOACAN,2013,5
MORELOS,2009,
MORELOS,2010,1
MORELOS,2011,1
MORELOS,2012,1
MORELOS,2013,1
NAYARIT,2009,10
NAYARIT,2010,11
NAYARIT,2011,11
NAYARIT,2012,12
NAYARIT,2013,12
NUEVOLEON,2009,3
NUEVOLEON,2010,
NUEVOLEON,2011,
NUEVOLEON,2012,
NUEVOLEON,2013,
OAXACA,2009,7
OAXACA,2010,7
OAXACA,2011,5
OAXACA,2012,5
OAXACA,2013,5
PUEBLA,2009,2
PUEBLA,2010,1
PUEBLA,2011,2
PUEBLA,2012,2
PUEBLA,2013,2
QUERETARO,2009,3
QUERETARO,2010,2
QUERETARO,2011,1
QUERETARO,2012,1
QUERETARO,2013,1
QUINTANA ROO,2009,6
QUINTANA ROO,2010,7
QUINTANA ROO,2011,7
QUINTANA ROO,2012,7
QUINTANA ROO,2013,6
SAN LUIS POTOSI,2009,2
SAN LUIS POTOSI,2010,2
SAN LUIS POTOSI,2011,2
SAN LUIS POTOSI,2012,1
SAN LUIS POTOSI,2013,1
SINALOA,2009,18
SINALOA,2010,20
SINALOA,2011,21
SINALOA,2012,26
SINALOA,2013,26
SONORA,2009,18
SONORA,2010,16
SONORA,2011,20
SONORA,2012,19
SONORA,2013,20
TABASCO,2009,7
TABASCO,2010,5
TABASCO,2011,4
TABASCO,2012,4
TABASCO,2013,3
TAMAULIPAS,2009,10
TAMAULIPAS,2010,8
TAMAULIPAS,2011,7
TAMAULIPAS,2012,7
TAMAULIPAS,2013,7
TLAXCALA,2009,2
TLAXCALA,2010,3
TLAXCALA,2011,
TLAXCALA,2012,2
TLAXCALA,2013,2
VERACRUZ,2009,11
VERACRUZ,2010,11
VERACRUZ,2011,10
VERACRUZ,2012,10
VERACRUZ,2013,10
YUCATAN,2009,9
YUCATAN,2010,9
YUCATAN,2011,8
YUCATAN,2012,8
YUCATAN,2013,7
ZACATECAS,2009,2
ZACATECAS,2010,2
ZACATECAS,2011,2
ZACATECAS,2012,2
ZACATECAS,2013,2
