ESTADO,MUNICIPIO,LOCALIDAD,RNPA,TITULAR,ESPECIE,AREA,FECHA_INICIO,FECHA_TERMINO
BAJA CALIFORNIA,ENSENADA,EL ROSARIO,203126552,"ZUAREV, S.P.R. DE R.L.",CANGREJO,COORDENADAS,10/8/2012,10/7/2016
SINALOA,ANGOSTURA,LA REFORMA,2506001748,"S.C.P.P.ALBINO SOBERANES NAVARRO, S.C. DE R.L. DE C.V.",JAIBA,"AGUAS DE LA BAHIA DE SANTA MARIA, EN EL ESTADO DE SINALOA",8/1/2012,7/31/2016
SINALOA,ELOTA,ABOCHO,2501001677,"S.C.P.P. EJIDAL AGUA NUEVA DE ABOCHO, S.C.DE R.L. DE C.V.",ESCAMA DE AGUA DULCE,"AGUAS DE LA LAGUNA DE ABOCHO, ELOTA, SINALOA",8/5/2012,8/4/2016
SINALOA,BADIRAGUATO,EL VAREJONAL,2501005843,MARCO ANTONIO CISNEROS CASTRO,ESCAMA DE AGUA DULCE,"AGUAS DEL CAUCE DEL RIO HUMAYA, APROXIMADAMENTE 1.4 KM DESPUES DEL TUNEL DE DESFOGUE DE LA PRESA ADOLFO LOPEZ MATEOS",11/1/2012,10/31/2016
SINALOA,MAZATLÁN,MAZATLÁN,2508013154,JESUS CORONA,ESCAMA,AGUAS DE JURISDICCION FEDERAL EN EL ESTADO DE SINALOA,8/21/2012,8/20/2014
SINALOA,MAZATLÁN,MAZATLÁN,2507000335,"S.C.P.P. ESTERO CAMACOHA, S.C. DE R.L.",JAIBA,"BAHIA EL COLORADO Y GOLFO DE CALIFORNIA, FRENTE A LAS COSTAS DE MUNICIPIO DE AHOME, SINALOA",8/1/2012,7/31/2014
SINALOA,ANGOSTURA,LA REFORMA,2506001987,"S.C.P.P. JUAN ALVAREZ GUTIERREZ, S.C.L.",JAIBA,"BAHIA DE SANTA MARIA, ANGOSTURA, SINALOA",8/21/2012,8/20/2014
SINALOA,ESCUINAPA,TEACAPAN,2504001807,MARCO ANTONIO ECHEAGARAY RIVERA,ESCAMA,AGUAS DE JURISDICCION FEDERAL EN EL ESTADO DE SINALOA,8/30/2012,8/29/2016
SINALOA,MAZATLÁN,MAZATLÁN,2508015761,ZEFERINO OSUNA IBARRA,ESCAMA MARINA,"AGUAS DE JURISDICCIÓN FEDERAL DEL ESTADO DE SINALOA, ESPECIFICAMENTES EN MAZATLÁN, ENTRE BARRAS DE PIAXTLA Y BARRÓN",9/21/2012,9/20/2014
SINALOA,MAZATLÁN,MAZATLÁN,2508004542,ZEFERINO LOPEZ ARAMBURO,ESCAMA,"LITORAL DEL OCEANO PACIFICO, EN EL ESTADO DE SINALOA",1/31/2011,1/30/2015
CAMPECHE,CHAMPOTON,CHAMPOTON,404003071,YULIANA YURIDIA LOPEZ VAZQUEZ,PULPO,LITORAL DEL ESTADO DE CAMPECHE,10/3/2012,10/2/2014
CAMPECHE,CAMPECHE,CAMPECHE,401004056,YUCUMBALAM S.C. DE R.L.,PULPO,LITORAL DEL ESTADO DE CAMPECHE ,9/21/2012,9/22/2014
CAMPECHE,CAMPECHE,SAN FCO. DE CAMPECHE,401006341,YOLANDA SANTOYO PACHECO,PULPO,LITORAL DEL ESTADO DE CAMPECHE,8/28/2012,8/27/2014
CAMPECHE,CAMPECHE,SAN FCO. DE CAMPECHE,401006341,YOLANDA SANTOYO PACHECO,ESCAMA MARINA,LITORAL DEL ESTADO DE CAMPECHE,8/28/2012,8/27/2014
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,TIBURON,GOLFO DE MEXICO ,4/27/2012,4/30/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,TIBURON,GOLFO DE MEXICO ,4/27/2012,4/30/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,TIBURON,GOLFO DE MEXICO ,4/27/2012,4/30/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO ,4/27/2012,4/26/2017
TAMAULIPAS,MATAMOROS,MATAMOROS,2810000519,YOLANDA CASADOS ESTRADA,ESCAMA MARINA,GOLFO DE MEXICO EN EL LITORAL DEL ESTADO DE TAMAULIPAS,4/8/2010,4/7/2014
COLIMA,MANZANILLO,CAMPOS,601002777,YENNI MARISOL ORTEGA DE LA CRUZ,ESCAMA DE AGUA DULCE,LAGUNA DE CUYUTLAN,2/5/2013,2/4/2016
CAMPECHE,SEYBAPLAYA,SAYBAPLAYA,403003189,YAIR OVED PACHECO PALOMO,PULPO,LITORAL DEL ESTADO DE CAMPECHE,3/16/2012,3/15/2014
CAMPECHE,SEYBAPLAYA,SAYBAPLAYA,403003189,YAIR OVED PACHECO PALOMO,ESCAMA MARINA,LITORAL DEL ESTADO DE CAMPECHE,3/16/2012,3/15/2014
CAMPECHE,SEYBAPLAYA,SAYBAPLAYA,403003189,YAIR OVED PACHECO PALOMO,CARACOL,LITORAL DEL ESTADO DE CAMPECHE,3/16/2012,3/15/2014
OAXACA,SALINA CRUZ,SALINA CRUZ,2005004797,YADIRA CRUZ VELAZQUEZ,ESCAMA MARINA,"AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO. ESPECIFICAMENTE DE BARRA DE SAN FRANCISCO HASTA ENSENADA MORO AYUTA, OAXACA",8/23/2012,8/22/2014
CAMPECHE,CHAMPOTON ,SEYBAPLAYA ,403003379,XOCHITL MARINA UC PUCH,PULPO,LITORAL DEL ESTADO DE CAMPECHE,9/18/2012,9/17/2014
CAMPECHE,CHAMPOTON ,SEYBAPLAYA ,403003379,XOCHITL MARINA UC PUCH,ESCAMA MARINA,LITORAL DEL ESTADO DE CAMPECHE,9/18/2012,9/17/2014
CAMPECHE,CHAMPOTON ,SEYBAPLAYA ,403003379,XOCHITL MARINA UC PUCH,CARACOL,LITORAL DEL ESTADO DE CAMPECHE,9/18/2012,9/17/2014
CAMPECHE,CHAMPOTON ,SEYBAPLAYA ,403003361,XOCHITL MARINA PUCH DE LEON,PULPO,LITORAL DEL ESTADO DE CAMPECHE,9/18/2012,9/17/2014
CAMPECHE,CHAMPOTON ,SEYBAPLAYA ,403003361,XOCHITL MARINA PUCH DE LEON,ESCAMA MARINA,LITORAL DEL ESTADO DE CAMPECHE,9/18/2012,9/17/2014
CAMPECHE,CHAMPOTON ,SEYBAPLAYA ,403003361,XOCHITL MARINA PUCH DE LEON,CARACOL,LITORAL DEL ESTADO DE CAMPECHE,9/18/2012,9/17/2014
GUERRERO,TECPAN DE GALEANA,COL. BOCA CHICA,1201000252,WILLIANS NAVARRETE DE LA CRUZ,ESCAMA,LITORAL DEL ESTADO DE GUERRERO,3/27/2012,3/26/2016
CAMPECHE,CAMPECHE,SAN FCO. DE CAMPECHE,401006846,WILLIAM DE JESUS SANCHEZ PACHECO,ESCAMA MARINA,LITORAL DEL ESTADO DE CAMPECHE,4/16/2012,4/15/2014
TABASCO,JONUTA,JONUTA,2702000437,WILBERT ENRIQUE GORRA RAMAYO,PEJE LAGARTO,LAGUNA ATASCADERO,5/28/2010,5/27/2014
TABASCO,JONUTA,JONUTA,2702000437,WILBERT ENRIQUE GORRA RAMAYO,ESCAMA DE AGUA DULCE,LAGUNA ATASCADERO,5/28/2010,5/27/2014
TABASCO,CARDENAS,SANCHEZ MAGALLANES,2704003405,WILBERT COSMOPULOS LOPEZ,TIBURON,GOLFO DE MEXICO EN EL LITORAL DEL ESTADO DE TABASCO,12/2/2010,4/30/2014
CAMPECHE,CALKINI,ISLA ARENA,408001261,WEYLEY CUATECMOC GOMEZ PEREZ,ESCAMA MARINA,LITORAL DEL ESTADO DE CAMPECHE,5/16/2012,1/30/2014
TABASCO,CARDENAS,CARDENAS,2704003397,WALDO HERNANDEZ MADRIGAL,ESCAMA MARINA,GOLFO DE MEXICO EN EL LITORAL DEL ESTADO DE TABASCO,6/4/2010,6/3/2014
OAXACA,SALINA CRUZ,SALINA CRUZ,2005004060,VIVIANA DEL CARMEN TURINICIO ALONSO,ESCAMA MARINA,LITORAL DEL ESTADO DE OAXACA DE BARRA DE SAN FRANCISCO A MORRO AYUTLA,3/15/2011,3/14/2015
BAJA CALIFORNIA,ENSENADA,ENSENADA,203009956,"VIÑATACOT, S.P.R. DE R.L.",ERIZO ROJO,COORDENADAS,7/14/2010,7/13/2014
BAJA CALIFORNIA,ENSENADA,EL ROSARIO,203009956,"VIÑACOT, S.P.R. DE R.L.",ESCAMA MARINA,LITORAL DEL EDO. DE BAJA CALIF. FUERA DE LA ZONA NUCLEO DE LA RESERVA  DE LA BIOSFERA DE ALTO DEL GOLFO,11/12/2010,11/11/2014
