Nro,Año,Descripción,Respuesta
819700002514,2009-2013,Información sobre inspección y vigilancia pesquera.,Contestado
819700002414,2006-2013,Listado de beneficiarios de subsidios,Contestado
819700002314,2014," Listado actual de concesiones, permisos y autorizaciones ",Contestado
819700012416,2014-2015,Información sobre apoyos y subsidios.,Contestado
819700012516,2014-2015,Información sobre inspección y vigilancia pesquera.,
819700015516,"2009, 2012, 2015",Información sobre permisos y concesiones,
819700012316,2014-2015,Información sobre permisos y concesiones,
,,,
819700004517,2016,Información sobre apoyos y subsidios.,
819700004617,2016,Información sobre inspección y vigilancia pesquera.,
