Actividad,Cantidad,Region,Clave Estado,Estado,Mes,Anio
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,ENERO,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,FEBRERO,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,MARZO,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,ABRIL,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,MAYO,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,JUNIO,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,JULIO,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,AGOSTO,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,SEPTIEMBRE,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,OCTUBRE,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,NOVIEMBRE,2015
RECORRIDOS TERRESTRES,0,AGUAS INTERIORES,1,AGUASCALIENTES,DICIEMBRE,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,ENERO,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,FEBRERO,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,MARZO,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,ABRIL,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,MAYO,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,JUNIO,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,JULIO,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,AGOSTO,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,SEPTIEMBRE,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,OCTUBRE,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,NOVIEMBRE,2015
RECORRIDOS ACUATICOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,DICIEMBRE,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,ENERO,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,FEBRERO,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,MARZO,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,ABRIL,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,MAYO,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,JUNIO,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,JULIO,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,AGOSTO,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,SEPTIEMBRE,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,OCTUBRE,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,NOVIEMBRE,2015
PUNTOS DE REVISION,0,AGUAS INTERIORES,1,AGUASCALIENTES,DICIEMBRE,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,ENERO,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,FEBRERO,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,MARZO,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,ABRIL,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,MAYO,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,JUNIO,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,JULIO,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,AGOSTO,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,SEPTIEMBRE,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,OCTUBRE,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,NOVIEMBRE,2015
PLATICAS DE PREVENCION,0,AGUAS INTERIORES,1,AGUASCALIENTES,DICIEMBRE,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,ENERO,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,FEBRERO,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,MARZO,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,ABRIL,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,MAYO,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,JUNIO,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,JULIO,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,AGOSTO,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,SEPTIEMBRE,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,OCTUBRE,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,NOVIEMBRE,2015
INSPECCIONES REALIZADAS,0,AGUAS INTERIORES,1,AGUASCALIENTES,DICIEMBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,ENERO,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,FEBRERO,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,MARZO,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,ABRIL,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,MAYO,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,JUNIO,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,JULIO,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,AGOSTO,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,SEPTIEMBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,OCTUBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,NOVIEMBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,0,AGUAS INTERIORES,1,AGUASCALIENTES,DICIEMBRE,2015
RECORRIDOS TERRESTRES,123,PACIFICO NORTE,2,BAJA CALIFORNIA,ENERO,2015
RECORRIDOS TERRESTRES,149,PACIFICO NORTE,2,BAJA CALIFORNIA,FEBRERO,2015
RECORRIDOS TERRESTRES,181,PACIFICO NORTE,2,BAJA CALIFORNIA,MARZO,2015
RECORRIDOS TERRESTRES,190,PACIFICO NORTE,2,BAJA CALIFORNIA,ABRIL,2015
RECORRIDOS TERRESTRES,179,PACIFICO NORTE,2,BAJA CALIFORNIA,MAYO,2015
RECORRIDOS TERRESTRES,170,PACIFICO NORTE,2,BAJA CALIFORNIA,JUNIO,2015
RECORRIDOS TERRESTRES,204,PACIFICO NORTE,2,BAJA CALIFORNIA,JULIO,2015
RECORRIDOS TERRESTRES,224,PACIFICO NORTE,2,BAJA CALIFORNIA,AGOSTO,2015
RECORRIDOS TERRESTRES,224,PACIFICO NORTE,2,BAJA CALIFORNIA,SEPTIEMBRE,2015
RECORRIDOS TERRESTRES,196,PACIFICO NORTE,2,BAJA CALIFORNIA,OCTUBRE,2015
RECORRIDOS TERRESTRES,226,PACIFICO NORTE,2,BAJA CALIFORNIA,NOVIEMBRE,2015
RECORRIDOS TERRESTRES,159,PACIFICO NORTE,2,BAJA CALIFORNIA,DICIEMBRE,2015
RECORRIDOS ACUATICOS,44,PACIFICO NORTE,2,BAJA CALIFORNIA,ENERO,2015
RECORRIDOS ACUATICOS,80,PACIFICO NORTE,2,BAJA CALIFORNIA,FEBRERO,2015
RECORRIDOS ACUATICOS,64,PACIFICO NORTE,2,BAJA CALIFORNIA,MARZO,2015
RECORRIDOS ACUATICOS,65,PACIFICO NORTE,2,BAJA CALIFORNIA,ABRIL,2015
RECORRIDOS ACUATICOS,97,PACIFICO NORTE,2,BAJA CALIFORNIA,MAYO,2015
RECORRIDOS ACUATICOS,88,PACIFICO NORTE,2,BAJA CALIFORNIA,JUNIO,2015
RECORRIDOS ACUATICOS,158,PACIFICO NORTE,2,BAJA CALIFORNIA,JULIO,2015
RECORRIDOS ACUATICOS,186,PACIFICO NORTE,2,BAJA CALIFORNIA,AGOSTO,2015
RECORRIDOS ACUATICOS,171,PACIFICO NORTE,2,BAJA CALIFORNIA,SEPTIEMBRE,2015
RECORRIDOS ACUATICOS,105,PACIFICO NORTE,2,BAJA CALIFORNIA,OCTUBRE,2015
RECORRIDOS ACUATICOS,114,PACIFICO NORTE,2,BAJA CALIFORNIA,NOVIEMBRE,2015
RECORRIDOS ACUATICOS,114,PACIFICO NORTE,2,BAJA CALIFORNIA,DICIEMBRE,2015
PUNTOS DE REVISION,22,PACIFICO NORTE,2,BAJA CALIFORNIA,ENERO,2015
PUNTOS DE REVISION,26,PACIFICO NORTE,2,BAJA CALIFORNIA,FEBRERO,2015
PUNTOS DE REVISION,57,PACIFICO NORTE,2,BAJA CALIFORNIA,MARZO,2015
PUNTOS DE REVISION,82,PACIFICO NORTE,2,BAJA CALIFORNIA,ABRIL,2015
PUNTOS DE REVISION,32,PACIFICO NORTE,2,BAJA CALIFORNIA,MAYO,2015
PUNTOS DE REVISION,29,PACIFICO NORTE,2,BAJA CALIFORNIA,JUNIO,2015
PUNTOS DE REVISION,29,PACIFICO NORTE,2,BAJA CALIFORNIA,JULIO,2015
PUNTOS DE REVISION,19,PACIFICO NORTE,2,BAJA CALIFORNIA,AGOSTO,2015
PUNTOS DE REVISION,30,PACIFICO NORTE,2,BAJA CALIFORNIA,SEPTIEMBRE,2015
PUNTOS DE REVISION,29,PACIFICO NORTE,2,BAJA CALIFORNIA,OCTUBRE,2015
PUNTOS DE REVISION,27,PACIFICO NORTE,2,BAJA CALIFORNIA,NOVIEMBRE,2015
PUNTOS DE REVISION,17,PACIFICO NORTE,2,BAJA CALIFORNIA,DICIEMBRE,2015
PLATICAS DE PREVENCION,4,PACIFICO NORTE,2,BAJA CALIFORNIA,ENERO,2015
PLATICAS DE PREVENCION,16,PACIFICO NORTE,2,BAJA CALIFORNIA,FEBRERO,2015
PLATICAS DE PREVENCION,31,PACIFICO NORTE,2,BAJA CALIFORNIA,MARZO,2015
PLATICAS DE PREVENCION,31,PACIFICO NORTE,2,BAJA CALIFORNIA,ABRIL,2015
PLATICAS DE PREVENCION,22,PACIFICO NORTE,2,BAJA CALIFORNIA,MAYO,2015
PLATICAS DE PREVENCION,16,PACIFICO NORTE,2,BAJA CALIFORNIA,JUNIO,2015
PLATICAS DE PREVENCION,21,PACIFICO NORTE,2,BAJA CALIFORNIA,JULIO,2015
PLATICAS DE PREVENCION,18,PACIFICO NORTE,2,BAJA CALIFORNIA,AGOSTO,2015
PLATICAS DE PREVENCION,19,PACIFICO NORTE,2,BAJA CALIFORNIA,SEPTIEMBRE,2015
PLATICAS DE PREVENCION,20,PACIFICO NORTE,2,BAJA CALIFORNIA,OCTUBRE,2015
PLATICAS DE PREVENCION,18,PACIFICO NORTE,2,BAJA CALIFORNIA,NOVIEMBRE,2015
PLATICAS DE PREVENCION,16,PACIFICO NORTE,2,BAJA CALIFORNIA,DICIEMBRE,2015
INSPECCIONES REALIZADAS,35,PACIFICO NORTE,2,BAJA CALIFORNIA,ENERO,2015
INSPECCIONES REALIZADAS,37,PACIFICO NORTE,2,BAJA CALIFORNIA,FEBRERO,2015
INSPECCIONES REALIZADAS,33,PACIFICO NORTE,2,BAJA CALIFORNIA,MARZO,2015
INSPECCIONES REALIZADAS,27,PACIFICO NORTE,2,BAJA CALIFORNIA,ABRIL,2015
INSPECCIONES REALIZADAS,27,PACIFICO NORTE,2,BAJA CALIFORNIA,MAYO,2015
INSPECCIONES REALIZADAS,38,PACIFICO NORTE,2,BAJA CALIFORNIA,JUNIO,2015
INSPECCIONES REALIZADAS,43,PACIFICO NORTE,2,BAJA CALIFORNIA,JULIO,2015
INSPECCIONES REALIZADAS,33,PACIFICO NORTE,2,BAJA CALIFORNIA,AGOSTO,2015
INSPECCIONES REALIZADAS,49,PACIFICO NORTE,2,BAJA CALIFORNIA,SEPTIEMBRE,2015
INSPECCIONES REALIZADAS,41,PACIFICO NORTE,2,BAJA CALIFORNIA,OCTUBRE,2015
INSPECCIONES REALIZADAS,63,PACIFICO NORTE,2,BAJA CALIFORNIA,NOVIEMBRE,2015
INSPECCIONES REALIZADAS,26,PACIFICO NORTE,2,BAJA CALIFORNIA,DICIEMBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,71,PACIFICO NORTE,2,BAJA CALIFORNIA,ENERO,2015
ACTOS DE VIGILANCIA REALIZADOS,272,PACIFICO NORTE,2,BAJA CALIFORNIA,FEBRERO,2015
ACTOS DE VIGILANCIA REALIZADOS,640,PACIFICO NORTE,2,BAJA CALIFORNIA,MARZO,2015
ACTOS DE VIGILANCIA REALIZADOS,740,PACIFICO NORTE,2,BAJA CALIFORNIA,ABRIL,2015
ACTOS DE VIGILANCIA REALIZADOS,143,PACIFICO NORTE,2,BAJA CALIFORNIA,MAYO,2015
ACTOS DE VIGILANCIA REALIZADOS,110,PACIFICO NORTE,2,BAJA CALIFORNIA,JUNIO,2015
ACTOS DE VIGILANCIA REALIZADOS,106,PACIFICO NORTE,2,BAJA CALIFORNIA,JULIO,2015
ACTOS DE VIGILANCIA REALIZADOS,91,PACIFICO NORTE,2,BAJA CALIFORNIA,AGOSTO,2015
ACTOS DE VIGILANCIA REALIZADOS,103,PACIFICO NORTE,2,BAJA CALIFORNIA,SEPTIEMBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,155,PACIFICO NORTE,2,BAJA CALIFORNIA,OCTUBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,158,PACIFICO NORTE,2,BAJA CALIFORNIA,NOVIEMBRE,2015
ACTOS DE VIGILANCIA REALIZADOS,153,PACIFICO NORTE,2,BAJA CALIFORNIA,DICIEMBRE,2015
RECORRIDOS TERRESTRES,135,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,ENERO,2015
RECORRIDOS TERRESTRES,141,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,FEBRERO,2015
RECORRIDOS TERRESTRES,166,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,MARZO,2015
RECORRIDOS TERRESTRES,189,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,ABRIL,2015
RECORRIDOS TERRESTRES,178,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,MAYO,2015
RECORRIDOS TERRESTRES,193,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,JUNIO,2015
RECORRIDOS TERRESTRES,139,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,JULIO,2015
RECORRIDOS TERRESTRES,151,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,AGOSTO,2015
RECORRIDOS TERRESTRES,144,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,SEPTIEMBRE,2015
RECORRIDOS TERRESTRES,119,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,OCTUBRE,2015
RECORRIDOS TERRESTRES,140,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,NOVIEMBRE,2015
RECORRIDOS TERRESTRES,108,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,DICIEMBRE,2015
RECORRIDOS ACUATICOS,41,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,ENERO,2015
RECORRIDOS ACUATICOS,55,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,FEBRERO,2015
RECORRIDOS ACUATICOS,57,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,MARZO,2015
RECORRIDOS ACUATICOS,55,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,ABRIL,2015
RECORRIDOS ACUATICOS,59,PACIFICO NORTE,3,BAJA CALIFORNIA SUR,MAYO,2015
