Año,ESTADO,ABULON,AGUA MALA- BOLA DE CANON,ALMEJA,ATUN,CALAMAR,CAMARON,CARACOL,DORADO,ESCAMA GENERAL,JAIBA,LANGOSTA,LISA-LISETA,MERO,OSTIÓN,PEPINO,PICUDOS,PULPO,ROBALO,TIBURON Y RAYAS,OTROS
2009,AGUASCAUENTES,2,0,9,0,12,34,3,0,51,3,0,0,0,7,0,0,10,0,0,0
2009,BAJA CALIFORNIA,4,0,23698,5851,50508,16329.4,49446.9,380,266796,0,56616,17214,0,0,1000,0,3618,0,11765,14856.2
2009,BAJA CALIFORNIA SUR,0,0,11158.8,21,56587,21045.2,141,520.5,11762.5,0,131.1,2460,0,490.33,0,170,48,0,238,1758
2009,CAMPECHE,0,0,0,0,414,4665.8,1404.93,0,28100,0,0,0,0,0,12645,0,90170.02,0,0,83
2009,CHIAPAS,0,0,0,4250150,0,17237,0,300,2450,0,0,0,0,0,0,0,0,0,0,0
2009,CHIHUAHUA,0,0,240,1012,51553,184120.5,2745,0,79190.5,170,24,0,0,915,0,0,31.772,110,13710,2637.5
2009,COAHUILA,0,0,0,0,1000,4060,0,0,23650,0,0,0,0,0,0,0,0,0,0,150
2009,COLIMA,0,0,494.5,235,1004.38,10649.7,91.9,305.6,17828.3,202.36,365,0,0,2600,0,1018.4,475.5,0,14,102
2009,DF,0,0,3557.4,1761.5,46854,8372.84,539.3,1952,22990.6,2381,530,1000,0,2950,0,2562,8024.2,1100.1,860,9769.2
2009,DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,ESTADO DE MEXICO,0,0,99,0,191,906,10,0,2797,161,0,188,0,0,0,0,105,27,0,522
2009,GUANAJUATO,0,0,836,2085,27,27375,0,0,42989.1,1207,0,15,0,28,0,0,9212,7,0,2.5
2009,GUERRERO,0,0,63,174,1320,18029.5,1081.5,39.4,959.75,15,45.3,0,80,3006.76,0,206.2,1950,0,0,1911.2
2009,HIDALGO,0,0,44,0,94,549,16,7,660,43,0,0,122,0,0,0,23,0,0,56.5
