COMISION NACIONAL DE ACUACULTURA Y PESCA||||||||||||||||||
DIRECCIÓN GENERAL DE INSPECCIÓN Y VIGILANCIA||||||||||||||||||
INFORME DE RESULTADOS DE LAS ACTIVIDADES REALIZADAS POR LOS OFICIALES FEDERALES DE PESCA||||||||||||||||||
INFORMACIÓN AL DÍA:|31 de diciembre de 2014|||||||||||||||||
||||RECORRIDOS|||PRODUCTO RETENIDO|||BIENES RETENIDOS||||||||
ESTADO|ACTAS|VERIFICACIONES||TERRESTRES|ACUATICOS||KILOGRAMOS|UNIDADES||ARTES DE PESCA|PERSONAS AL MP|VEHICULOS|EMB.  MAYORES|EMB. MENORES||||
AGUASCALIENTES|0|0||0|0||0|0||0|0|0|0|0||||
BAJA CALIFORNIA|221|1363||1865|907||100583.31|14809||1519|19|36|1|49||||
BAJA CALIFORNIA SUR|340|7884||862|611||320001.94|8604||445|11|65|6|94||||
CAMPECHE|125|394||271|209||149442|0||101|22|33|1|22||||
CHIAPAS|116|867||130|228||14905|20||444|0|2|0|4||||
CHIHUAHUA|28|109||154|185||31620|0||75|0|0|0|0||||
COAHUILA|42|263||238|107||265|4||49|0|0|0|3||||
COLIMA|125|158||535|187||11963|120025||252|0|4|1|5||||
DF|103|550||294|0||25110|13095||0|0|0|0|0||||
DURANGO|9|7||14|8||0|0||10|0|0|0|0||||
ESTADO DE MEXICO|131|205||108|91||17522|632016||38|0|0|0|1||||
GUANAJUATO|40|32||164|51||193678|9||16|0|0|0|4||||
GUERRERO|36|83||654|84||5981|156||27|0|6|0|16||||
HIDALGO|70|142||172|80||0|90077||42|0|0|0|0||||
JALISCO|359|1048||923|217||43708.1|0||3824|1|39|0|31||||
MICHOACAN|214|560||374|250||64292|12||4064|0|33|0|16||||
MORELOS|20|34||121|30||0|0||8|0|0|0|1||||
NAYARIT|182|217||647|1405||20494.8|3350030||1300|0|23|1|16||||
NUEVO LEON|10|14||113|51||0|0||3|0|0|0|0||||
OAXACA|181|598||1381|466||13698|72||182|0|14|0|0||||
PUEBLA|25|131||134|24||26816|3660||34|0|2|0|0||||
QUERETARO|10|0||52|38||1415|0||30|0|0|0|0||||
QUINTANA ROO|29|580||328|376||16328|164||20|0|0|2|2||||
SAN LUIS POTOSI|1|2||137|52||0|0||0|0|0|0|0||||
SINALOA|362|1542||2650|3875||100486|1319118||526|49|36|0|34||||
SONORA|430|2907||3320|2606||2254721|2||467|17|41|4|40||||
TABASCO|105|135||157|144||371|0||275|0|0|1|1||||
TAMAULIPAS|107|605||1430|435||3279|0||281|0|1|0|1||||
TLAXCALA |25|44||84|21||1660.5|1||3|0|0|0|0||||
VERACRUZ|606|897||746|1263||16508.8|17984||1198|0|5|0|32||||
YUCATAN|279|1132||653|307||289568.06|6||256|11|43|1|9||||
ZACATECAS|22|39||120|78||8688.2000000000007|29||12|0|0|0|0||||
TOTALES|4353|22542||18831|14386||3733105.71|5569893||15501|130|383|18|381||||
