Entidad_Federativa,Tipo,2009,2010,2011,2012,2013
Aguascalientes,Embarcación Menor,1,1,1,1,1
Baja California,Embarcación Menor,2,2,3,3,3
Baja California sur,Embarcación Menor,2,2,2,2,2
Campeche,Embarcación Menor,3,3,4,4,4
Chiapas,Embarcación Menor,2,2,2,2,2
Chihuahua,Embarcación Menor,1,1,1,1,1
Coahuila,Embarcación Menor,1,1,1,1,1
Colima,Embarcación Menor,2,2,2,2,2
Estado de Mexico,Embarcación Menor,1,1,1,1,1
Guanajuato,Embarcación Menor,1,1,1,1,1
Guerrero,Embarcación Menor,2,2,2,2,2
Hidalgo,Embarcación Menor,1,1,1,1,1
Jalisco,Embarcación Menor,1,1,1,1,1
Michoacan,Embarcación Menor,2,2,2,2,2
Nayarit,Embarcación Menor,4,4,5,6,6
Nuevo León,Embarcación Menor,1,1,1,1,1
Oaxaca,Embarcación Menor,2,2,1,1,1
Puebla,Embarcación Menor,1,1,1,1,1
Queretaro,Embarcación Menor,1,1,1,1,1
Quintana Roo,Embarcación Menor,2,2,2,2,2
San Luis Potosi,Embarcación Menor,1,1,1,1,1
Sinaloa,Embarcación Menor,20,20,19,18,18
Sonora,Embarcación Menor,5,5,7,7,7
Tabasco,Embarcación Menor,2,2,1,1,1
Tamaulipas,Embarcación Menor,4,4,2,2,2
Veracruz,Embarcación Menor,3,3,3,3,3
Yucatan,Embarcación Menor,2,2,2,2,2
Zacatecas,Embarcación Menor,1,1,1,1,1
