Entidades_Federativas,2009,2010,2011,2012,2013
Aguascalientes,41,41,62,125,124
Baja California,191,422,426,623,1169
Baja California Sur,328,229,553,175,1933
Campeche,548,620,519,553,652
Chiapas,83,79,255,542,1412
Chihuahua,52,66,153,179,234
Coahuila,33,38,-0,227,126
Colima,108,99,132,122,263
Distrito Federal,230,289,301,492,385
Durango,14,57,62,193,106
Estado de México,179,121,141,193,281
Guanajuato,51,94,74,177,285
Guerrero,105,135,232,263,267
Hidalgo,112,130,184,341,323
Jalisco,420,383,627,417,1102
Michoacán,141,135,356,1701,770
Morelos,57,193,28,18,89
Nayarit,289,191,358,2088,1857
Nuevo León,19,40,45,53,72
Oaxaca,126,566,455,696,556
Puebla,40,60,87,97,152
Querétaro,94,61,38,23,8
Quintana Roo,165,179,163,401,563
San Luis Potosí,58,46,53,72,29
Sinaloa,359,631,1063,3313,2009
Sonora,296,299,469,643,631
Tabasco,196,94,150,349,439
Tamaulipas,279,84,150,654,1089
Tlaxcala,88,150,103,72,149
Veracruz,739,1032,1360,1427,1558
Yucatán,659,230,616,616,1138
Zacatecas,26,31,28,147,136
