Entidad_Federativa,2009,2010,2011,2012,2013
Aguascalientes,-0,-0,1,-0,-0
Baja California,11,57,80,54,74
Baja California Sur,51,40,48,43,90
Campeche,15,22,54,40,51
Chiapas,-0,-0,-0,-0,-0
Chihuahua,-0,-0,-0,-0,-0
Coahuila,-0,-0,-0,3,8
Colima,-0,-0,-0,-0,-0
Distrito Federal,-0,-0,-0,-0,1
Durango,-0,-0,-0,-0,-0
Estado de México,-0,-0,-0,-0,-0
Guanajuato,-0,-0,-0,1,6
Guerrero,3,-0,3,-0,2
Hidalgo,-0,-0,-0,-0,-0
Jalisco,-0,3,2,10,17
Michoacán,-0,4,1,20,15
Morelos,-0,-0,-0,-0,-0
Nayarit,16,46,71,56,36
Nuevo León,-0,-0,-0,-0,-0
Oaxaca,2,7,26,8,13
Puebla,-0,-0,-0,6,-0
Querétaro,3,-0,-0,-0,1
Quintana Roo,1,2,4,5,4
San Luis Potosí,-0,1,10,7,-0
Sinaloa,19,17,46,28,36
Sonora,30,46,120,59,48
Tabasco,6,3,9,3,-0
Tamaulipas,1,-0,-0,1,1
Tlaxcala,1,-0,-0,1,-0
Veracruz,17,14,23,21,6
Yucatán,2,10,100,72,67
Zacatecas,-0,-0,-0,-0,-0
