Tipo,Estado,Año,Incautadas
Embarcaciones,Aguascalientes,2009,-0
Embarcaciones,Aguascalientes,2010,1
Embarcaciones,Aguascalientes,2011,5
Embarcaciones,Aguascalientes,2012,-0
Embarcaciones,Aguascalientes,2013,-0
Embarcaciones,Baja California,2009,37
Embarcaciones,Baja California,2010,56
Embarcaciones,Baja California,2011,77
Embarcaciones,Baja California,2012,47
Embarcaciones,Baja California,2013,61
Embarcaciones,Baja California Sur,2009,90
Embarcaciones,Baja California Sur,2010,66
Embarcaciones,Baja California Sur,2011,90
Embarcaciones,Baja California Sur,2012,61
Embarcaciones,Baja California Sur,2013,105
Embarcaciones,Campeche,2009,67
Embarcaciones,Campeche,2010,75
Embarcaciones,Campeche,2011,53
Embarcaciones,Campeche,2012,23
Embarcaciones,Campeche,2013,17
Embarcaciones,Chiapas,2009,10
Embarcaciones,Chiapas,2010,1
Embarcaciones,Chiapas,2011,5
Embarcaciones,Chiapas,2012,4
Embarcaciones,Chiapas,2013,-0
Embarcaciones,Chihuahua,2009,3
Embarcaciones,Chihuahua,2010,1
Embarcaciones,Chihuahua,2011,-0
Embarcaciones,Chihuahua,2012,-0
Embarcaciones,Chihuahua,2013,2
Embarcaciones,Coahuila,2009,2
Embarcaciones,Coahuila,2010,2
Embarcaciones,Coahuila,2011,-0
Embarcaciones,Coahuila,2012,2
Embarcaciones,Coahuila,2013,-0
Embarcaciones,Colima,2009,1
Embarcaciones,Colima,2010,-0
Embarcaciones,Colima,2011,-0
Embarcaciones,Colima,2012,1
Embarcaciones,Colima,2013,4
Embarcaciones,Distrito Federal,2009,-0
Embarcaciones,Distrito Federal,2010,-0
Embarcaciones,Distrito Federal,2011,-0
Embarcaciones,Distrito Federal,2012,-0
Embarcaciones,Distrito Federal,2013,-0
Embarcaciones,Durango,2009,-0
Embarcaciones,Durango,2010,-0
Embarcaciones,Durango,2011,-0
Embarcaciones,Durango,2012,-0
Embarcaciones,Durango,2013,-0
Embarcaciones,Estado de México,2009,-0
Embarcaciones,Estado de México,2010,2
Embarcaciones,Estado de México,2011,5
Embarcaciones,Estado de México,2012,1
Embarcaciones,Estado de México,2013,-0
Embarcaciones,Guanajuato,2009,5
Embarcaciones,Guanajuato,2010,9
Embarcaciones,Guanajuato,2011,3
