Area_Adscripcion,2013,2012,2011,2010,2009
AGUASCALIENTES,1,1,1,1,1
BAJA CALIFORNIA,9,9,10,9,7
BAJA CALIFORNIA SUR,15,13,12,11,11
CAMPECHE,8,8,7,8,10
CHIAPAS,5,6,6,7,7
CHIHUAHUA,2,2,2,2,2
COAHUILA,1,1,2,2,2
COLIMA,5,5,5,5,5
DISTRITO FEDERAL,5,5,5,5,4
DURANGO,,1,1,1,1
EDO. DE MEXICO,2,2,2,2,2
GUANAJUATO,2,2,2,2,2
GUERRERO,4,4,4,5,6
HIDALGO,2,2,2,1,2
JALISCO,10,10,9,9,9
MICHOACAN,5,5,5,4,4
MORELOS,1,1,1,1,
NAYARIT,12,12,11,11,10
NUEVOLEON,,,,,3
OAXACA,5,5,5,7,7
PUEBLA,2,2,2,1,2
QUERETARO,1,1,1,2,3
QUINTANA ROO,6,7,7,7,6
SAN LUIS POTOSI,1,1,2,2,2
SINALOA,26,26,21,20,18
SONORA,20,19,20,16,18
TABASCO,3,4,4,5,7
TAMAULIPAS,7,7,7,8,10
TLAXCALA,2,2,,3,2
VERACRUZ,10,10,10,11,11
YUCATAN,7,8,8,9,9
ZACATECAS,2,2,2,2,2
