Folio_denuncia,Fecha_captura,Estado,Municipio,Localidad,Lugar_conocido,Tipo_denuncia,Instrumento_utilizado,Estatus,Especie
28140001,09/01/2014,Tamaulipas,Altamira,Puerto Industrial Altamira (API),CANAL DE NAVEGACIÓN,Captura ilegal,Embarcación Menor,Atendido,ROBALO
3140002,10/01/2014,Baja California Sur,Los Cabos,Migriño,MIGRIÑO,Captura ilegal,Método de pesca,Atendido,-1
30140003,10/01/2014,Veracruz,Coatzacoalcos,Coatzacoalcos,ESCOLLERAS,Captura ilegal,Método de pesca,Atendido,-1
24140004,10/01/2014,San Luis Potosí,Rayón,La Luz,PRESA AMOLADERAS,Comercialización ilegal,Método de pesca,Atendido,LOBINA
3140005,10/01/2014,Baja California Sur,Los Cabos,San José del Cabo,MIGRIÑO,Captura ilegal,Otros,Atendido,SIERRA
19140006,11/01/2014,Nuevo León,China,La Presa,LA PLAYITA,Captura ilegal,Embarcación Menor,Atendido,-1
1140007,11/01/2014,Aguascalientes,Aguascalientes,Aguascalientes,MCGOURMET,Comercialización ilegal,Otros,Atendido,GUACHINANGO
4140008,14/01/2014,Campeche,Carmen,Ciudad del Carmen,PLAYAS EN GENERAL,Captura ilegal,Método de pesca,Atendido,ROBALO
18140009,15/01/2014,Nayarit,Bahía de Banderas,Las Jarretaderas,NUEVO VALLARTA,Comercialización ilegal,Embarcación Mayor,Atendido,ATUN
16140010,16/01/2014,Michoacán,Lázaro Cárdenas,La Playa de Caleta,BAHÍA DE CALETA DE CAMPOS,Captura ilegal,Embarcación Mayor,Atendido,CAMARON
25140011,17/01/2014,Sinaloa,Elota,Ceuta,PLAYA CEUTA A BOCA COSPITA,Otros,Arte de pesca,Atendido,DORADO
25140012,17/01/2014,Sinaloa,Navolato,Altata,BAHIA ALTATA Y PABELLON,Captura ilegal,Embarcación Menor,Atendido,CAMARON
18140013,19/01/2014,Nayarit,San Blas,San Blas,BAHIA DE MATANCHEN,Captura ilegal,Embarcación Mayor,Atendido,CAMARON
28140014,21/01/2014,Tamaulipas,Altamira,Altamira,RIO TAMESI,Captura ilegal,Arte de pesca,Atendido,ROBALO
28140015,21/01/2014,Tamaulipas,Altamira,La Pimienta,LA PIMIENTA,Otros,Método de pesca,Atendido,ROBALO
14140016,24/01/2014,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),LA PRESA,Captura ilegal,Embarcación Menor,Atendido,LOBINA
13140017,30/01/2014,Hidalgo,Zimapán,Yethay,PRESA FERNANDO HIRIART BALDERRAMA,Captura ilegal,Embarcación Menor,Atendido,LOBINA
18140018,04/02/2014,Nayarit,San Blas,San Blas,BAHIA DE MATANCHEN,Otros,Embarcación Mayor,Atendido,CAMARON
25140019,04/02/2014,Sinaloa,Ahome,Jitzámuri,JITZAMURI,Captura ilegal,Método de pesca,Atendido,JAIBA
30140020,05/02/2014,Veracruz,Ozuluama de Mascareñas,La Laja,LAGUNA DE TAMIAHUA,Captura ilegal,Arte de pesca,Atendido,CAMARON
26140021,10/02/2014,Sonora,Puerto Peñasco,Bahía de San Jorge,COSTA DE PUERTO PEÑASCO Y EL DESEMBOQUE DE CAB,Captura ilegal,Embarcación Mayor,Atendido,SARDINA
7140022,15/02/2014,Chiapas,Pijijiapan,Las Cuaches,ISLA MORELO,Posesión ilegal,Otros,Atendido,-1
2140023,16/02/2014,Baja California,Ensenada,Santo Domingo,VILLA JESUS MARIA BAJA CALIFORNIA,Captura ilegal,Otros,Atendido,ALMEJA
3140024,19/02/2014,Baja California Sur,Comondú,Puerto San Carlos,BAHIAS MAGDALENA Y ALMEJASS,Captura ilegal,Embarcación Mayor,Atendido,SARDINA
