Tipo,Estado,Año,Incautadas
Vehiculos,Aguascalientes,2009,-0
Vehiculos,Aguascalientes,2010,-0
Vehiculos,Aguascalientes,2011,1
Vehiculos,Aguascalientes,2012,-0
Vehiculos,Aguascalientes,2013,-0
Vehiculos,Baja California,2009,11
Vehiculos,Baja California,2010,57
Vehiculos,Baja California,2011,80
Vehiculos,Baja California,2012,54
Vehiculos,Baja California,2013,74
Vehiculos,Baja California Sur,2009,51
Vehiculos,Baja California Sur,2010,40
Vehiculos,Baja California Sur,2011,48
Vehiculos,Baja California Sur,2012,43
Vehiculos,Baja California Sur,2013,90
Vehiculos,Campeche,2009,15
Vehiculos,Campeche,2010,22
Vehiculos,Campeche,2011,54
Vehiculos,Campeche,2012,40
Vehiculos,Campeche,2013,51
Vehiculos,Chiapas,2009,-0
Vehiculos,Chiapas,2010,-0
Vehiculos,Chiapas,2011,-0
Vehiculos,Chiapas,2012,-0
Vehiculos,Chiapas,2013,-0
Vehiculos,Chihuahua,2009,-0
Vehiculos,Chihuahua,2010,-0
Vehiculos,Chihuahua,2011,-0
Vehiculos,Chihuahua,2012,-0
Vehiculos,Chihuahua,2013,-0
Vehiculos,Coahuila,2009,-0
Vehiculos,Coahuila,2010,-0
Vehiculos,Coahuila,2011,-0
Vehiculos,Coahuila,2012,3
Vehiculos,Coahuila,2013,8
Vehiculos,Colima,2009,-0
Vehiculos,Colima,2010,-0
Vehiculos,Colima,2011,-0
Vehiculos,Colima,2012,-0
Vehiculos,Colima,2013,-0
Vehiculos,Distrito Federal,2009,-0
Vehiculos,Distrito Federal,2010,-0
Vehiculos,Distrito Federal,2011,-0
Vehiculos,Distrito Federal,2012,-0
Vehiculos,Distrito Federal,2013,1
Vehiculos,Durango,2009,-0
Vehiculos,Durango,2010,-0
Vehiculos,Durango,2011,-0
Vehiculos,Durango,2012,-0
Vehiculos,Durango,2013,-0
Vehiculos,Estado de México,2009,-0
Vehiculos,Estado de México,2010,-0
Vehiculos,Estado de México,2011,-0
Vehiculos,Estado de México,2012,-0
Vehiculos,Estado de México,2013,-0
Vehiculos,Guanajuato,2009,-0
Vehiculos,Guanajuato,2010,-0
Vehiculos,Guanajuato,2011,-0
Vehiculos,Guanajuato,2012,1
Vehiculos,Guanajuato,2013,6
Vehiculos,Guerrero,2009,3
Vehiculos,Guerrero,2010,-0
Vehiculos,Guerrero,2011,3
Vehiculos,Guerrero,2012,-0
Vehiculos,Guerrero,2013,2
Vehiculos,Hidalgo,2009,-0
Vehiculos,Hidalgo,2010,-0
Vehiculos,Hidalgo,2011,-0
Vehiculos,Hidalgo,2012,-0
Vehiculos,Hidalgo,2013,-0
Vehiculos,Jalisco,2009,-0
Vehiculos,Jalisco,2010,3
Vehiculos,Jalisco,2011,2
Vehiculos,Jalisco,2012,10
Vehiculos,Jalisco,2013,17
Vehiculos,Michoacán,2009,-0
Vehiculos,Michoacán,2010,4
Vehiculos,Michoacán,2011,1
Vehiculos,Michoacán,2012,20
Vehiculos,Michoacán,2013,15
Vehiculos,Morelos,2009,-0
Vehiculos,Morelos,2010,-0
Vehiculos,Morelos,2011,-0
Vehiculos,Morelos,2012,-0
Vehiculos,Morelos,2013,-0
Vehiculos,Nayarit,2009,16
Vehiculos,Nayarit,2010,46
Vehiculos,Nayarit,2011,71
Vehiculos,Nayarit,2012,56
Vehiculos,Nayarit,2013,36
Vehiculos,Nuevo León,2009,-0
Vehiculos,Nuevo León,2010,-0
Vehiculos,Nuevo León,2011,-0
Vehiculos,Nuevo León,2012,-0
Vehiculos,Nuevo León,2013,-0
Vehiculos,Oaxaca,2009,2
Vehiculos,Oaxaca,2010,7
Vehiculos,Oaxaca,2011,26
Vehiculos,Oaxaca,2012,8
Vehiculos,Oaxaca,2013,13
Vehiculos,Puebla,2009,-0
Vehiculos,Puebla,2010,-0
Vehiculos,Puebla,2011,-0
Vehiculos,Puebla,2012,6
Vehiculos,Puebla,2013,-0
Vehiculos,Querétaro,2009,3
Vehiculos,Querétaro,2010,-0
Vehiculos,Querétaro,2011,-0
Vehiculos,Querétaro,2012,-0
Vehiculos,Querétaro,2013,1
Vehiculos,Quintana Roo,2009,1
Vehiculos,Quintana Roo,2010,2
Vehiculos,Quintana Roo,2011,4
Vehiculos,Quintana Roo,2012,5
Vehiculos,Quintana Roo,2013,4
Vehiculos,San Luis Potosí,2009,-0
Vehiculos,San Luis Potosí,2010,1
Vehiculos,San Luis Potosí,2011,10
Vehiculos,San Luis Potosí,2012,7
Vehiculos,San Luis Potosí,2013,-0
Vehiculos,Sinaloa,2009,19
Vehiculos,Sinaloa,2010,17
Vehiculos,Sinaloa,2011,46
Vehiculos,Sinaloa,2012,28
Vehiculos,Sinaloa,2013,36
Vehiculos,Sonora,2009,30
Vehiculos,Sonora,2010,46
Vehiculos,Sonora,2011,120
Vehiculos,Sonora,2012,59
Vehiculos,Sonora,2013,48
Vehiculos,Tabasco,2009,6
Vehiculos,Tabasco,2010,3
Vehiculos,Tabasco,2011,9
Vehiculos,Tabasco,2012,3
Vehiculos,Tabasco,2013,-0
Vehiculos,Tamaulipas,2009,1
Vehiculos,Tamaulipas,2010,-0
Vehiculos,Tamaulipas,2011,-0
Vehiculos,Tamaulipas,2012,1
Vehiculos,Tamaulipas,2013,1
Vehiculos,Tlaxcala,2009,1
Vehiculos,Tlaxcala,2010,-0
Vehiculos,Tlaxcala,2011,-0
Vehiculos,Tlaxcala,2012,1
Vehiculos,Tlaxcala,2013,-0
Vehiculos,Veracruz,2009,17
Vehiculos,Veracruz,2010,14
Vehiculos,Veracruz,2011,23
Vehiculos,Veracruz,2012,21
Vehiculos,Veracruz,2013,6
Vehiculos,Yucatán,2009,2
Vehiculos,Yucatán,2010,10
Vehiculos,Yucatán,2011,100
Vehiculos,Yucatán,2012,72
Vehiculos,Yucatán,2013,67
Vehiculos,Zacatecas,2009,-0
Vehiculos,Zacatecas,2010,-0
Vehiculos,Zacatecas,2011,-0
Vehiculos,Zacatecas,2012,-0
Vehiculos,Zacatecas,2013,-0
